,Tipo,Título,Año,Mes,ID
0,Movie,U-571,2000.0,9.0,tt0141926
1,Movie,Knockout,2000.0,2.0,tt0143344
2,Movie,Highlander: Endgame,2000.0,9.0,tt0144964
3,Movie,Sinbad: Beyond the Veil of Mists,2000.0,2.0,tt0144608
4,Movie,Shafted!,2000.0,3.0,tt0147486
5,Movie,Josh,2000.0,6.0,tt0151150
6,Movie,Yup Yup Man,2005.0,1.0,tt0157202
7,Movie,The Art of War,2001.0,1.0,tt0160009
8,Movie,Charlie's Angels,2000.0,12.0,tt0160127
9,Movie,Shaft,2000.0,11.0,tt0162650
10,Movie,Hollow Man,2000.0,8.0,tt0164052
11,Movie,Black Sea 213,2000.0,4.0,tt0165642
12,Movie,Nautilus,2000.0,4.0,tt0165400
13,Movie,Romeo Must Die,2000.0,8.0,tt0165929
14,Movie,Red Team,2000.0,6.0,tt0167367
15,Movie,Dream Witch,2000.0,5.0,tt0168714
16,Movie,A Better Way to Die,2001.0,9.0,tt0168504
17,Movie,Prince of Central Park,2000.0,12.0,tt0170452
18,Movie,Gladiator,2000.0,5.0,tt0172495
19,Movie,The Thundering 8th,2000.0,0.0,tt0171827
20,Movie,Alex l'ariete,2000.0,7.0,tt0172109
21,Movie,The Million Dollar Kid,2001.0,4.0,tt0172464
22,Movie,Delta Force One: The Lost Patrol,2000.0,10.0,tt0176650
23,Movie,Bullfighter,2000.0,10.0,tt0176579
24,Movie,The Perfect Storm,2000.0,9.0,tt0177971
25,Movie,Fortress 2,2000.0,3.0,tt0179183
26,Movie,Mondialito,2001.0,1.0,tt0179987
27,Movie,Icebreaker,2000.0,5.0,tt0179861
28,Movie,The Grizzly Six,2000.0,0.0,tt0179204
29,Movie,Intrepid,2000.0,4.0,tt0183280
30,Movie,The Specials,2000.0,9.0,tt0181836
31,Movie,Taxi 2,2001.0,1.0,tt0183869
32,Movie,Reindeer Games,2000.0,10.0,tt0184858
33,Movie,Shanghai Noon,2000.0,6.0,tt0184894
34,Movie,"Farewell, My Love",2000.0,2.0,tt0184457
35,Movie,Space Cowboys,2000.0,11.0,tt0186566
36,Movie,The Patriot,2000.0,7.0,tt0187393
37,Movie,Primary Suspect,2000.0,6.0,tt0187750
38,Movie,Battlefield Earth,2000.0,5.0,tt0185183
39,Movie,Brooklyn Sonnet,2000.0,0.0,tt0187761
40,Movie,Gone in Sixty Seconds,2000.0,8.0,tt0187078
41,Movie,Point Doom,2000.0,6.0,tt0186454
42,Movie,Dungeons & Dragons,2001.0,4.0,tt0190374
43,Movie,Left Behind,2001.0,2.0,tt0190524
44,Movie,Wo hu cang long,2001.0,2.0,tt0190332
45,Movie,The Skulls,2000.0,10.0,tt0192614
46,Movie,Vertical Limit,2001.0,2.0,tt0190865
47,Movie,Lek,2000.0,4.0,tt0194104
48,Movie,Accelerator,2000.0,11.0,tt0193701
49,Movie,Newsbreak,2000.0,2.0,tt0195944
50,Movie,Starforce,2000.0,7.0,tt0195308
51,Movie,Hjärta av sten,2000.0,11.0,tt0196614
52,Movie,The Wrecking Crew,2000.0,3.0,tt0196219
53,Movie,Under Pressure,2000.0,2.0,tt0197072
54,Movie,Tiger Claws III,2000.0,8.0,tt0197951
55,Movie,Black Sea Raid,2000.0,5.0,tt0197299
56,Movie,Wings of the Crow,2000.0,12.0,tt0197104
57,Movie,Recipe for Disaster,2000.0,0.0,tt0198970
58,Movie,Red Planet,2001.0,2.0,tt0199753
59,Movie,Manhattan Chase,2000.0,11.0,tt0199748
60,Movie,The Cheapest Movie Ever Made,2000.0,0.0,tt0201519
61,Movie,Deep Core,2000.0,10.0,tt0202314
62,Movie,The Alternate,2000.0,4.0,tt0203835
63,Movie,Pilgrim,2000.0,7.0,tt0203053
64,Movie,The Way of the Gun,2000.0,9.0,tt0202677
65,Movie,Ninja Mission 2000,2000.0,0.0,tt0204499
66,Movie,Airboss III: The Payback,2000.0,1.0,tt0205729
67,Movie,Hassel/Förgörarna,2000.0,1.0,tt0208198
68,Movie,Airboss IV: The X Factor,2000.0,10.0,tt0207299
69,Movie,Chain of Command,2004.0,6.0,tt0207377
70,Movie,Get Carter,2001.0,9.0,tt0208988
71,Movie,Nostradamus,2000.0,4.0,tt0207631
72,Movie,The Chaos Factor,2000.0,6.0,tt0208037
73,Movie,The Guardian,2000.0,4.0,tt0207501
74,Movie,Big Momma's House,2000.0,9.0,tt0208003
75,Movie,Aquarius,2000.0,0.0,tt0212774
76,Movie,Obstacles,2000.0,0.0,tt0213127
77,Movie,Miss Congeniality,2001.0,3.0,tt0212346
78,Movie,Bait,2000.0,9.0,tt0211938
79,Movie,Citizen Toxie: The Toxic Avenger IV,2008.0,8.0,tt0212879
80,Movie,Ground Zero,2000.0,5.0,tt0213690
81,Movie,Last Stand,2000.0,0.0,tt0212881
82,Movie,Doomsdayer,2000.0,9.0,tt0214638
83,Movie,Gong yuan 2000 AD,2000.0,2.0,tt0214728
84,Movie,Faith and the Water Dog,2000.0,0.0,tt0214683
85,Movie,The Last Patrol,2000.0,4.0,tt0214871
86,Movie,O Dia da Caça,2000.0,6.0,tt0215715
87,Movie,The 6th Day,2000.0,12.0,tt0216216
88,Movie,Total western,2000.0,7.0,tt0216750
89,Movie,Vampire Hunter D: Bloodlust,2000.0,10.0,tt0216651
90,Movie,Turn It Up,2000.0,9.0,tt0216772
91,Movie,Militia,2005.0,,tt0217654
92,Movie,Mrs. Death 2: Hells Fury,2000.0,10.0,tt0216926
93,Movie,Agent Red,2000.0,12.0,tt0218080
94,Movie,Dracula 2000,2001.0,6.0,tt0219653
95,Movie,Submerged,2000.0,8.0,tt0218641
96,Movie,La máscara de Zorro,2000.0,0.0,tt0219169
97,Movie,Pukar,2000.0,2.0,tt0218533
98,Movie,Blue Shirts,2000.0,0.0,tt0220336
99,Movie,Daybreak,2000.0,12.0,tt0219640
100,Movie,G-Men from Hell,2000.0,12.0,tt0221197
101,Movie,Khauff,2000.0,3.0,tt0220596
102,Movie,Mach 2,2000.0,6.0,tt0222020
103,Movie,Operation Delta Force 5: Random Fire,2000.0,,tt0227200
104,Movie,Ojos que no ven,2000.0,5.0,tt0226238
