,0
0,No tiene datos
1,No tiene datos
2,No tiene datos
3,No tiene datos
4,13
5,No tiene datos
6,No tiene datos
7,No tiene datos
8,No tiene datos
9,No tiene datos
10,No tiene datos
11,0
12,42
13,29
14,No tiene datos
15,No tiene datos
16,No tiene datos
17,65
18,No tiene datos
19,No tiene datos
20,No tiene datos
21,No tiene datos
22,No tiene datos
23,No tiene datos
24,20
25,No tiene datos
26,No tiene datos
27,No tiene datos
28,47
29,No tiene datos
30,71
31,No tiene datos
32,70
33,No tiene datos
34,No tiene datos
35,No tiene datos
36,49
37,No tiene datos
38,80
39,No tiene datos
40,No tiene datos
41,33
42,62
43,7
44,No tiene datos
45,No tiene datos
46,58
47,50
48,55
49,No tiene datos
50,43
51,92
52,92
53,No tiene datos
54,0
55,No tiene datos
56,No tiene datos
57,No tiene datos
58,No tiene datos
59,No tiene datos
60,86
61,35
62,78
63,No tiene datos
64,53
65,42
66,76
67,31
68,60
69,No tiene datos
70,No tiene datos
71,66
72,No tiene datos
73,No tiene datos
74,36
75,No tiene datos
76,87
77,No tiene datos
78,53
79,85
80,56
81,44
82,67
83,No tiene datos
84,91
85,56
86,22
87,No tiene datos
88,No tiene datos
89,11
90,79
91,No tiene datos
92,9
93,No tiene datos
94,29
95,49
96,64
97,No tiene datos
98,No tiene datos
99,No tiene datos
100,No tiene datos
101,0
102,69
103,No tiene datos
104,No tiene datos
105,45
106,60
107,No tiene datos
108,No tiene datos
109,74
110,No tiene datos
111,55
112,64
113,No tiene datos
114,No tiene datos
115,47
116,37
117,No tiene datos
118,No tiene datos
119,No tiene datos
120,No tiene datos
121,No tiene datos
122,63
123,80
124,No tiene datos
125,No tiene datos
126,No tiene datos
127,No tiene datos
128,22
129,No tiene datos
130,No tiene datos
131,No tiene datos
132,30
133,No tiene datos
134,No tiene datos
135,25
136,22
137,No tiene datos
138,No tiene datos
139,37
140,No tiene datos
141,No tiene datos
142,64
143,12
144,No tiene datos
145,No tiene datos
146,43
147,17
148,47
149,75
150,12
151,50
152,No tiene datos
153,4
154,No tiene datos
155,33
156,No tiene datos
157,38
158,No tiene datos
159,No tiene datos
160,No tiene datos
161,No tiene datos
162,40
163,24
164,46
165,No tiene datos
166,35
167,No tiene datos
168,No tiene datos
169,No tiene datos
170,0
171,No tiene datos
172,No tiene datos
173,No tiene datos
174,No tiene datos
175,No tiene datos
176,No tiene datos
177,86
178,No tiene datos
179,No tiene datos
180,12
181,37
182,56
183,No tiene datos
184,73
185,No tiene datos
186,33
187,57
188,No tiene datos
189,No tiene datos
190,No tiene datos
191,47
192,No tiene datos
193,No tiene datos
194,No tiene datos
195,84
196,No tiene datos
197,No tiene datos
198,52
199,No tiene datos
200,No tiene datos
201,No tiene datos
202,No tiene datos
203,No tiene datos
204,No tiene datos
205,No tiene datos
206,80
207,No tiene datos
208,No tiene datos
209,No tiene datos
210,No tiene datos
211,No tiene datos
212,No tiene datos
213,No tiene datos
214,No tiene datos
215,66
216,No tiene datos
217,68
218,49
219,80
220,44
221,35
