,0,1,2,3,4,5
0,6.5,Nicolas Boukhrief,Éric Besnard,Un hombre entra a trabajar a una compañía de camiones de seguridad para vengar la muerte de su hijo durante un asalto.,95,El transportista
1,4.5,Scott Spiegel,"Lee Batchler, Janet Scott Batchler","When her surrogate father who owns the casino she works in gets murdered, Modesty Blaise takes on those that killed him and are now at the casino to rob it. It turns out she is more than just a modest worker.",78,Mi nombre es Modesty: una aventura de Modesty Blaise
2,6.8,Shinji Takagi,Sadayuki Murai,"En la Gran Bretaña de 1860, un niño inventor se encuentra atrapado en medio de un conflicto mortal por un avance revolucionario en la energía del vapor.",126,Steamboy
3,7.4,Rajkumar Santoshi,Ranjit Kapoor,A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.,174,Khakee
4,5.3,Clive Morris,Clive Morris,No tiene argumento,No tiene datos,A Case of Murder
5,7.0,Farah Khan,Farah Khan,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",182,Main Hoon Na
6,3.0,Alle Segretti,"Alle Segretti, Zanne Segretti","He told them, get out of our lives in the next ten minutes or I will be in yours forever after. They chose option two. Now he is on a mission to annihilate the threat they have become.",120,Not About AJ
7,5.1,Pankaj Parashar,Rajiv Babbar,"Assistant Commissioner of Police, Uday Dhirendra Thakur, is a rogue cop, known for his relentlessness in pursuing criminals, and bringing them to justice, failing which, killing them in false encounters. It is this reputation that gets him transferred to crime detection, and counseling at the hands of Dr. Mehak. Then a series of homicides take place, and the police fe... Leer todo",127,Inteqam: The Perfect Game
8,4.9,David Carson,Tom Vaughan,"Dean has PTSD after a wet-job gone bad in Bosnia. Waiting for his police girlfriend at a diner, some bad guys inject him with a hallucinogen. It sends him back to traumatic experiences in Bosnia and he reacts violently.",96,Ladrones de mentes
9,6.3,Antoine Fuqua,David Franzoni,Una visión desmitificada de la historia del rey Arturo y los caballeros de la mesa redonda.,126,El rey Arturo
10,6.5,Jay Russell,Lewis Colick,"Como miembro de una hermandad de bomberos, Jack Morrison pasa de ser un novaro inexperto a un curtido veterano cuando se enfrenta a un trabajo muy peligrosos que lo convierte en un héroe pero que hace que engañe a su mujer y sus hijos.",115,Brigada 49
11,4.9,Kjell Sundvall,"Karin Alvtegen-Lundberg, Stefan Sauk, Ken Lindberg","A programmer who's working with the secret EWS computer system at a military air force base is threaten by foreign agents, along with his family. His only chance of rescue seems to be the war veteran Haglund who is a leader of a special taskforce.",103,La amenaza
12,2.8,Andrew Prendergast,"Alan Coulson, Jason Kingsley, Paul Mackman","A cleaning fluid experiment on an oil rig turns disastrous when a worker goes missing and eco-activists seize the rig, before a dangerous new creature forces workers and activists to band together.",93,Parasite
13,3.2,mink,Kantz,"Joshua Pope (Busta Rhymes) returns to his childhood home to claim the inheritance his late father has left him only to find that the local police have turned the town upside down and are ruling with an iron fist. So, with the help of an old friend (Xzibit) and his cohorts,Pope sets out to reclaim the town he once loved...by any means necessary. Tounge and cheek 70's s... Leer todo",95,Full Clip
14,6.3,Kevin Bray,Mort Briskin,"Un antiguo soldado estadounidense regresa a su ciudad natal para encontrarla invadida por el crimen y la corrupción, lo que le obligará a limpiar las calles de delincuentes.",86,Pisando fuerte
15,5.6,Ernest R. Dickerson,Donald Goines,A drug kingpin's return home touches off a turf war.,88,Nunca mueras solo
16,2.0,Ryan Combs,Ryan Combs,"This offbeat dark comedy take place when four friends (Brisco, J Rob, Pedro, and Hay Love) have a backyard bar-b-q and decide to come up on some bud. Not knowing where to turn, because the streets have been dry for a few months, they end up scoring from the son of a over protective mob figure by the name of Fredrico, who vows, if anything should happen to his son, the... Leer todo",90,I Accidentally Domed Your Son
17,5.8,Veera Shankar,"Pawan Kalyan, Satyanand","Shankar aka Gudumba Shankar, a petty-thief, falls in love with Gowri. When Shankar learns that Gowri and her family are harassed by powerful goon Kumaraswamy, he sets up a plot to fool kumaraswamy.",176,Gudumba Shankar
18,4.3,Gary Brockette,"Steven Chase, Howard Flamm","Ryan and Pete are 27-year old best friends in Miami, born on the same day and each searching for the perfect woman. Ryan is a rookie stockbroker living with his psychic Mom. Pete is a slick surfer dude yet to find commitment. Each meets the women of their dreams on the same day. Ryan knocks heads in an elevator with the gorgeous Jessica, passing out before getting her... Leer todo",101,Shut Up and Kiss Me!
19,5.4,Frédéric Schoendoerffer,"Yann Brion, Jean Cosmos, Olivier Douyère",Una amenaza podría frustrar el plan de un equipo de agentes secretos.,109,Agentes secretos
20,5.1,Jingle Ma,Susan Chan,"Lulu Wong lives a double life - part urban social butterfly, part vigilante superhero. Armed with ancient fighting techniques and high tech hardware, Lulu is a beautiful masked millionaire battling to defeat a greedy tyrant.",99,Fei Ying
21,4.5,Kevin Allen,Jeffrey Jurgensen,"Un astuto agente de la CIA ha robado al Gobierno de los Estados Unidos un dispositivo de control mental de alto secreto. Con la seguridad mundial en peligro, Cody debe desplazarse de incógnito a Londres para recuperarlo.",100,Superagente Cody Banks 2: Destino Londres
22,5.8,David S. Goyer,David S. Goyer,"Blade, ahora un hombre buscado por el FBI, debe unir fuerzas con los Nightstalkers para enfrentarse a su enemigo más desafiante hasta ahora: Drácula.",113,Blade: Trinity
23,6.5,David Mamet,David Mamet,La investigación del secuestro de la hija de un alto funcionario del gobierno de los Estados Unidos.,106,Spartan
24,4.7,Anthony Hickox,Steven E. de Souza,A terrorist posing as environmentalist hijacks an oil rig off the coast of California with the intent of detonating an electromagnetic bomb over the US.,92,Blast
25,3.3,Christoph Schrewe,"Torsten Dewi, Christoph Schrewe","After a meteor strike starts a new ice age, a group of survivors tries to find a device that could give mankind new hope",95,El día después del impacto
26,7.2,Wes Anderson,Wes Anderson,"El oceanógrafo Steve Zissou reúne a una tripulación que incluye a su mujer, a un periodista, y a un hombre que puede que sea su hijo, para dar caza al mítico tiburón que mató a su compañero.",119,Life Aquatic
27,5.8,Madhur Bhandarkar,"Hriday Lani, Sanjeev Puri, Manoj Tyagi",DCP Patnaik and his team's fights against corrupted politicians and mafia rule Mumbai city. However their faith in law and order is tested with serious outcomes.,149,Aan: Men at Work
28,5.2,Anthony J. Christopher,David Lee Rawlings,"Small-town retired sheriff Frank Everly finds his life on the skids after his wife Mary is murdered by the ruthless maniac Vincent Pope. When Pope escapes from prison, Everly comes out of retirement to hunt down Mary's killer. The search for Pope soon turns into a twisted game of cat and mouse. Pumping with heart-racing action, this modern-day western will take the au... Leer todo",86,Day of Redemption
29,7.3,Zack Snyder,George A. Romero,"Una enfermera, un policía, un joven matrimonio, un vendedor y otros supervivientes de una plaga mundial que está produciendo zombis agresivos y carnívoros, se refugian en un megacentro comercial.",101,Amanecer de los muertos
30,4.7,Sanjeev Puri,"Sanjeev Puri, Manoj Tyagi","Based on the true story of Air Force personnel in Srinagar, Kashmir.",No tiene datos,Agni Pankh
31,4.4,Hriday Shetty,"Yash Gawli, Sanjay Gupta, Yash Keswani","To pay off their gambling debt, four best friends kidnap an organized crime figure having mistaken him for a wealthy businessman.",149,Plan
32,3.6,Jamel Aattache,"Jamel Aattache, Kim Ho Kim","Fighting Fish is the first martial arts film produced and set in the Netherlands, about a young Chinese man from Hong-Kong, who travels to the west when he hears that his brother was killed during fight between two gangs in Rotterdam. When he arrives he immediately puts his raging fists to use when he tries to take revenge on the gang that killed his brother. But soon... Leer todo",90,Fighting Fish
33,6.5,Jean-François Laguionie,"Jean-François Laguionie, Anik Leray","Kid, a 15-year-old hard laborer, steals a map that promises to reveal the location of the notorious pirate Black Mor's treasure. Together with his crew -- MacGregor, Beanpole, Taka and Jim the monkey -- Kid procures a vessel and sets out to sea.",85,L'île de Black Mór
34,8.4,Kamal Haasan,H. Banerjee,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,175,Virumandi
35,4.6,Joseph Friel,Joseph Friel,Bill Taylor wakes up to find that someone has planted a bomb inside his body. He must do everything the mysterious caller demands before time runs out.,82,The Ticking Man
36,3.4,Kevin O'Neill,Dan Acre,"After an African dinosaur ancestor of the crocodile is found, Dr. Campbell uses its DNA to create prototypes at Paula Kennedy's Gereco lab.",90,Dinocroc
37,No tiene datos,Ryan McKinney,"Ryan Mc, Kinney",No tiene argumento,No tiene datos,Simple & Safe
38,6.2,Brett Ratner,Paul Zbyszewski,Un ladrón que logra su último gran robo está a punto de ser capturado por el agente del F.B.I que le prometió que lo haría.,97,El gran golpe
39,5.5,Philippe Martinez,"Mick Davis, Laurent Fellous, Kristina Hamilton-Grobler","Después de que su esposa sea brutalmente asesinada, Ben Archer, ejecutor de una organización criminal retirado, emprende una guerra contra las tríadas chinas.",91,Justa venganza
40,2.7,William Webb,Jim Makichuk,U.S. Army sniper Charlie Snow finds himself at the other end of the crosshairs when the brother of an Eastern European arms dealer whom he killed decides to take vengeance on Charlie and his family in L.A.,84,Target (El desafío)
41,5.4,Angela Robinson,Angela Robinson,"Las colegialas con falda escocesa son preparadas por una agencia secreta del gobierno para convertirse en los miembros más nuevos del grupo de defensa nacional de élite, D.E.B.S.",91,D.E.B.S. - espías en acción
42,5.0,Read Ridley,Read Ridley,"A Chicago Detective goes to the lawless, forgotten hood of ""Dodge City"" in Nashville, TN to avenge a death and crush the local gangsta syndicate run by Mr. T-Ball Williams.",98,Dodge City: A Spaghetto Western
43,6.9,Neil Widener,Neil Widener,"Genesee is tired of spending everyday fishing in her neighborhood with her three best friends--Patton, Chris, and Stock Exchange. She wants an adventure! Her wish is granted when the crew stumbles upon an Indian arrowhead that magically levitates, pointing to an unseen target. The gang decides to follow the mysterious 'compass,' unaware that it carries an ancient curs... Leer todo",70,"Subdivision, Colorado"
44,4.7,Dwight H. Little,Hans Bauer,"Una expedición científica parte en Borneo para encontrar la Orquídea Sangrienta, que ofrece longevidad, pero descubren que un nido de anacondas la encontró primero.",97,Anacondas: La cacería por la orquídea sangrienta
45,2.7,Mani Shankar,Mani Shankar,"A doctor travels from America to India to investigate a man with paranormal healing powers, and uncovers the existence of a dark power that has the potential to transform humans into a new species.",143,Rudraksh
46,5.0,Sidney J. Furie,Greg Mellott,"Frank Gannon, a veteran cop, is being hunted by his fellow police officers after they learned he has betrayed the brotherhood and exposed to the feds wide scale corruption of the LAPD. He has one day left to prove his case and survive.",97,Direct Action
47,4.7,Conor McMahon,"Conor Mc, Mahon","An infection spreads from slaughtered animals to humans, which causes the dead to rise and feed on the living.",80,Carne muerta
48,6.9,Jon Turteltaub,Jim Kouf,Un historiador se esfuerza por encontrar el legendario tesoro de los templarios antes de que un equipo de mercenarios lo encuentre primero.,131,La búsqueda (National Treasure)
49,3.8,Rajiv Rai,"Rajiv Rai, Naeem Sha","When the President of India is kidnapped by Kashmiri terrorists in Locarno, Switzerland, an Indian secret agent is sent to find him and set him free. With the help of an Indian singer he will make the ""Impossible"" to complete the mission.",139,Asambhav
50,5.7,Paul W.S. Anderson,Dan O'Bannon,"Durante una expedición arqueológica en la isla Bouvet, en la Antártida, un equipo de arqueólogos y otros científicos se ven envueltos en una batalla entre dos leyendas. Pronto, el equipo se da cuenta de que solo una especie puede ganar.",101,Alien vs. Predator
51,4.5,Azhagam Perumal,"Azhagam Perumal, Sujatha","Udhaya and Vasanthi love each other, but when he learns that she is engaged to another, he moves to another city. Here he is framed for a crime; Vasanthi finds out and sets out to prove his innocence.",122,Udhaya
52,7.5,Michael Mann,Stuart Beattie,Un conductor de taxi se encuentra a sí mismo como el rehén de un asesino a sueldo comprometido cuando realiza una ronda de golpe a golpe durante una noche en Los Ángeles.,120,Collateral
