,0,1,2,3,4,5
0,6.6,Jonathan Mostow,"Jonathan Mostow, Sam Montgomery, David Ayer",Un submarino alemán es abordado por submarinistas americanos disfrazados que intentan capturar su máquina de cifrado Enigma.,116,U-571
1,4.1,Lorenzo Doumani,Lorenzo Doumani,"Inspired by her father, a former boxer whose family duties superseded his athletic ambitions, a young woman (Sophia Adella Hernandez) decides to enter the sport.",99,K.O. Fuera de combate
2,4.6,Douglas Aarniokoski,Gregory Widen,"Los inmortales Connor y Duncan MacLeod deben unir sus fuerzas contra Kell, un inmortal malvado que es demasiado fuerte para que nadie se le enfrente solo.",87,Los inmortales: Juego final
3,4.5,Alan Jacobs,Jeff Wolverton,The story of the legendary sailor who helps a beautiful princess save her father and their seaside kingdom from the clutches of an Evil Wizard.,82,Simbad
4,4.1,Tom Putnam,Michael S. Harbour,"Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one step ahead of The Man. There's only one problem: Steven's white.",90,Shafted!
5,6.1,Mansoor Khan,"Aatish Kapadia, Mansoor Khan, Nidhi Tuli","Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.",162,Josh
6,4.8,Glenn Klinker,Glenn Klinker,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent.",90,Yup Yup Man
7,5.7,Christian Duguay,Wayne Beach,El secretario general de la ONU recurre a operaciones encubiertas para ayudar a la diplomacia.,117,El arte de la guerra
8,5.6,McG,Ryan Rowe,"Tres mujeres detectives, con un misterioso jefe, recuperan un software de identificación de voz robado, utilizando artes marciales, habilidades tecnológicas y su sex appeal.",98,Los ángeles de Charlie
9,6.0,John Singleton,"Ernest Tidyman, John Singleton, Shane Salerno","John Shaft, sobrino del detective original de los 70, tiene la misión de asegurarse de que el hijo de un magnate inmobiliario es llevado ante la justicia tras un asesinato racista.",99,Shaft: The Return
10,5.8,Paul Verhoeven,Gary Scott Thompson,"El descubrimiento de un brillante científico lo hace invisible, pero lo transforma en un omnipotente y peligroso megalómano.",112,El hombre sin sombra
11,3.2,Rafael Eisenman,"Zalman King, Elise D'Haene","Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has indirectly lured him into the situation, and the models that were hired locally are skilled weapons handlers and dealers. The ship is on its way to meet a South African submarine to whom ... Leer todo",85,Black Sea 213
12,3.5,Rodney McDonald,C. Courtney Joyner,"Over one hundred years ago, a cataclysmic chain of events plummeted the earth into the dark ages which destroyed most of civilization, and the remaining few survivors attempt to change the course of events that led to the destruction.",97,Nautilus
13,6.1,Andrzej Bartkowiak,Mitchell Kapner,"Un policía busca vengarse del asesino de su hermano. En el proceso, se enamora de la hija de un hombre de negocios que está involucrado en un acuerdo con su padre.",115,Romeo debe morir
14,4.6,Jeremy Haft,Alex Metcalf,Dos agentes del FBI se unen a un equipo especial llamado Red Team que caza asesinos en serie. Uno de los sospechosos pronto es encontrado muerto. La investigación revela que alguien puede estar ejecutando a presuntos asesinos en serie.,90,Red Team
15,2.5,John One,Chrissy Mountjoy,"Glori-Anne Gilbert is an ""ugly duckling"" who, by making a pact with the Dream Witch, becomes endowed with the beauty, wealth and sexual power of her friends.",70,Dream Witch
16,5.6,Scott Wiper,Scott Wiper,A Chicago cop quits the force and finds himself threatened by the Mafia.,101,Entre dos fuegos (A Better Way to Die)
17,5.1,John Leekley,John Leekley,"A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself.",109,El príncipe de Central Park
18,8.5,Ridley Scott,David Franzoni,Un exgeneral romano se propone vengarse del emperador corrupto que asesinó a su familia y lo envió a la esclavitud.,155,Gladiator (El gladiador)
19,9.0,Donald Borza II,Donald Borza II,"Veteran WWII fighter pilot, Joe Sarnowski, reflects back on his service as an American fighter ace. His pained memories of both love and war are told in the classic WWII movie tradition with a very unique and bold style.",100,The Thundering 8th
20,1.8,Damiano Damiani,Dardano Sacchetti,"Alessandro Corso is a special forces carabiniere. During an operation he saves a child but cause the death of one of his comrades. He's then transferred to a peaceful little town, where he will be unexpectedly forced to help an hot witness named Antavleva, protecting her and bringing them safely to the trial.",122,Alex l'ariete
21,3.1,Neil Mandt,Mark Twain,La buena noticia es que la familia Hunter acaba de ganar un billete de lotería de 50 millones de dólares. La mala noticia es que lo han perdido en medio de Los Ángeles y sólo tienen cuatro horas para encontrarlo y reclamar su premio.,91,Cazadores de fortuna
22,2.7,Joseph Zito,"Clay Mc, Bride",An elite commando unit must rescue a captured peacekeeping force from a ruthless international arms dealer.,93,Delta Force One: The Lost Patrol
23,2.4,Rune Bendixen,Rune Bendixen,A man on the run is surprised to learn that he is a Knight Templar and that his girlfriend is a holy virgin about to give birth to a very special baby on Christmas Day.,90,Bullfighter
24,6.5,Wolfgang Petersen,Sebastian Junger,Una tormenta inusualmente intensa atrapa a unos pescadores comerciales y los pone en peligro mortal.,130,La tormenta perfecta
25,4.5,Geoff Murphy,Steven Feinberg,"Han pasado unos años desde que John Brennick, un fugitivo de la prisión subterránea de gran tecnología, consiguiera escapar. El gerente de la corporación Mental busca a Brennick, quien se esconde, junto a su familia, en el campo.",92,Fortaleza infernal 2
26,6.1,Nicolas Wadimoff,"Nicolas Wadimoff, Moussa Maaskri, Louis Bélanger","Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo",100,Mondialito
27,3.6,David Giancola,David Giancola,At the the Killington ski resort something has gone awry. Evil terrorists led by the sinister Greig have taken the resort hostage with a stolen nuclear device. It's up to Ski Patrol bum Matt Foster to save the day... and his fiancé.,90,Icebreaker
28,No tiene datos,Wilt Chamberlain,No tiene datos,No tiene datos,No tiene datos,The Grizzly Six
29,3.3,John Putch,James Morley IIIKeoni Waxman,"When a tsunami created by a nuclear explosion capsizes a cruise ship, a special agent must help the surviving passengers reach the surface when it becomes apparent that there's a group of terrorists on board.",90,La aventura del Intrépido
30,5.7,Craig Mazin,James Gunn,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.,82,The Specials
