,0
0,68
1,No tiene datos
2,No tiene datos
3,No tiene datos
4,50
5,No tiene datos
6,No tiene datos
7,No tiene datos
8,No tiene datos
9,No tiene datos
10,No tiene datos
11,No tiene datos
12,38
13,No tiene datos
14,No tiene datos
15,No tiene datos
16,No tiene datos
17,No tiene datos
18,No tiene datos
19,No tiene datos
20,No tiene datos
21,No tiene datos
22,20
23,0
24,No tiene datos
25,No tiene datos
26,No tiene datos
27,20
28,No tiene datos
29,No tiene datos
30,82
31,70
32,No tiene datos
33,No tiene datos
34,No tiene datos
35,78
36,No tiene datos
37,No tiene datos
38,No tiene datos
39,No tiene datos
40,No tiene datos
41,No tiene datos
42,No tiene datos
43,No tiene datos
44,No tiene datos
45,No tiene datos
46,No tiene datos
47,No tiene datos
48,No tiene datos
49,No tiene datos
50,No tiene datos
51,No tiene datos
52,95
53,No tiene datos
54,No tiene datos
55,No tiene datos
56,No tiene datos
57,61
58,No tiene datos
59,No tiene datos
60,No tiene datos
61,No tiene datos
62,No tiene datos
63,No tiene datos
64,No tiene datos
65,"4,8/10"
66,No tiene datos
67,No tiene datos
68,No tiene datos
69,No tiene datos
70,No tiene datos
71,47
72,No tiene datos
73,No tiene datos
74,No tiene datos
75,No tiene datos
76,No tiene datos
77,No tiene datos
78,100
79,No tiene datos
80,No tiene datos
81,No tiene datos
82,No tiene datos
83,"5,9/10"
84,No tiene datos
85,No tiene datos
86,No tiene datos
87,No tiene datos
88,No tiene datos
89,No tiene datos
90,10
91,No tiene datos
92,No tiene datos
93,No tiene datos
94,No tiene datos
95,No tiene datos
96,No tiene datos
97,No tiene datos
98,No tiene datos
99,70
100,No tiene datos
101,38
102,No tiene datos
103,No tiene datos
104,No tiene datos
105,No tiene datos
106,No tiene datos
107,59
108,No tiene datos
109,No tiene datos
110,0
111,No tiene datos
112,No tiene datos
113,90
114,No tiene datos
115,No tiene datos
116,No tiene datos
117,No tiene datos
118,No tiene datos
119,No tiene datos
120,No tiene datos
121,No tiene datos
122,No tiene datos
123,49
124,88
125,92
126,No tiene datos
127,No tiene datos
128,No tiene datos
129,No tiene datos
130,No tiene datos
131,No tiene datos
132,No tiene datos
133,No tiene datos
134,No tiene datos
135,No tiene datos
136,No tiene datos
137,No tiene datos
138,No tiene datos
139,No tiene datos
140,No tiene datos
141,30
142,No tiene datos
143,No tiene datos
144,No tiene datos
145,No tiene datos
146,No tiene datos
147,No tiene datos
148,61
149,No tiene datos
150,No tiene datos
151,No tiene datos
152,71
153,No tiene datos
