,0,1,2,3,4,5
0,5.7,Fumihiko Sori,Jeffrey Scott,"In the land of Orlais, where battles are fought with swords and magic, a young heroine rises as templars, mages, and dragons clash. Cassandra, a brash and beautiful Seeker, must stop a conspiracy that threatens the realm's most powerful religious order, the Chantry of Andraste. Accused of treasonous crimes and hunted by friend and foe, Cassandra must clear her name an... Leer todo",90,Dragon Age: Dawn of the Seeker
1,5.2,Rob Cohen,Marc Moss,Un detective de homicidios es empujado al borde de sus límites morales y físicos cuando se enreda con un asesino a sueldo ferozmente hábil que se especializa en la tortura y el dolor.,101,En la mente del asesino
2,6.7,Takeshi Kitano,Takeshi Kitano,"As the police launch a full-scale crackdown on organized crime, it ignites a national yakuza struggle between the Sanno of the East and Hanabishi of the West.",110,Outrage 2
3,7.5,Patrick Sheehan,Patrick Sheehan,"A documentary that tells the story of Dale Brown, the legendary LSU basketball coach (1972-1997). The film boasts an all-star cast including Matthew McConaughey, Shaquille O'Neal, John Wooden, Dick Vitale and Tim Brando. The film chronicles his battles with the NCAA, his successful campaign to have a prisoner released and ultimately pardoned from Angola State Penitent... Leer todo",82,Man in the Glass: The Dale Brown Story
4,4.4,Mischa Webley,Mischa Webley,The shadow of war follows a troubled Iraq War vet as he is forced to pursue one of his own into the Pacific Northwest wilderness to finally confront a war crime that has haunted them both.,92,The Kill Hole
5,5.6,Rohit Shetty,Yunus Sajawal,"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",155,Bol Bachchan
6,4.6,J.A. Steel,"Christian K. Koch, J.A. Steel",A Civil War ghost story with a modern twist.,86,Blood Fare
7,4.1,Nikolai Pigarev,"Mikhail Borzenkov, Nikolai Pigarev","Russian Winter is a terrible thing... especially if it arrives in mid-July. Out amidst the icy storm, something raises its hideous head - a Russian zombie - senseless and merciless.",87,Meteletsa: El invierno de los muertos
8,6.1,Rupert Sanders,Evan Daugherty,"El cazador al que se le ordenó llevar a Blancanieves al bosque para matarla, acaba convirtiéndose en su protector y mentor en la misión de derrotar a la reina malvada.",127,Blancanieves y la leyenda del cazador
9,4.4,John Hyams,Tim Tori,"En St. Jude, traficantes de drogas y policías corruptos han destruido un vecindario urbano. Pero el recién llegado, Hong, tiene las habilidades de lucha y la visión moral para salvar a esta ciudad de sí misma.",91,Los ojos del dragón
10,5.3,Stephen Marro,Stephen Marro,"Broadway's Finest is a diverting story about three struggling men who impersonate New York City under cover cops and chase down a notorious drug dealer in order to create their own cutting edge police drama. Desperate for success, they enter the dangerous world of undercover police work to get the authentic material they need to create their show. As the exploits of t... Leer todo",88,Broadway's Finest
11,No tiene datos,Zach Mann,Nick Richey,No tiene datos,90,Relativity
12,5.9,Soi Cheang,Joey O'Bryan,Un policía novato se enfrenta a un veterano conductor en un enfrentamiento final que desafía a la muerte en las calles de Hong Kong.,90,Motorway
13,3.5,Duane Graves,Kim Henkel,A birthday celebration at a fancy restaurant leads to some friends' encounter with flesh-peddling cannibals.,86,Butcher Boys
14,6.0,Piotr Mularuk,"Wojciech Gajewicz, Piotr Mularuk","A story about the rise and fall of Zyga - a Polish kid in his early twenties, who wants to take charge of his life after the fall of communism, but in a time of chaos and moral anarchy, unwillingly becomes a gangster.",113,Yuma
15,4.2,Kamal Ahmed,Kamal Ahmed,"Four friends pay the ultimate price,when they seek revenge against a low-level Gangster.",91,Brutal
16,8.1,Jakob Montrasio,Jakob Montrasio,"Guerino, a cowboy from Italy, travels to Shanghai in search of his sister Elisa, who was working as a model in China but mysteriously vanished. In Shanghai, Guerino finds an unlikely ally in Jieikai, a local Chinese, whose girlfriend also mysteriously disappeared while working in the same modeling agency. During their search to uncover the truth, they are dragged into... Leer todo",No tiene datos,The Way of the Spur
17,6.4,Makoto Kamiya,Shotaro Suga,El agente especial Leon Kennedy va en contra de las órdenes de su superior y trabaja para destruir una serie de armas biológicas que se utilizan en una zona de guerra en Europa.,100,Resident evil: La maldición
18,4.2,Neil Mackay,Neil Mackay,"A bank robbery goes awry and the robbers hold up within a forest, but there is another that dwells here, an ex Vietnam vet. Soon, a battle of survival erupts as the thieves' now have to fight for their very existence.",85,Skeleton Lake
19,3.1,Gregory McQualter,"Gregory Mc, Qualter",Un cártel de droga colombiano se alía con un grupo de Triads de Hong Kong y con el sicario más atactivo del planeta para enviar dos toneladas de cocaína a Australia y a China.,109,Blood Money
20,7.3,Afonso Poyart,Afonso Poyart,"In São Paulo, the scheme of the corrupt DA Júlia and her mate, the lawyer Henrique with the gangster Maicom is discovered and sent to the Internal Affairs. Maicom is responsible for kidnappings, murderers and heists and his only chance is the support of the corrupt and powerful assemblyman Jader Kerteis that demands 2 million-dollars to help him. Meanwhile the ""paulis... Leer todo",101,2 conejos
21,5.3,Moziko Wind,Michael Micco,"A new age of terrorism is taking place in the United States. FBI Director, Frank Fitzgerald, is helping an Iranian terrorist group frame innocent American citizens rendering them guilty for terrorist acts they did not commit. The seventh victim, Tom Cali, is on the run trying to prove his innocence.",89,The Rule of Law
22,6.6,Baltasar Kormákur,Jón Atli Jónasson,"Based on actual events, a fisherman tries to survive in the freezing ocean after his boat capsizes off the south coast of Iceland.",95,Djúpið
23,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
24,2.6,Denis Alekseev,Denis Alekseev,"This is a movie about modern Russia, about the new generation, which, having learned the truth about the unclean business of their parents, does not follow in their footsteps, but chooses a new path.",120,Brigada: Naslednik
25,7.7,Jay Taylor,Jay Taylor,"Tracy thinks she is going to get her life back in order, until her day spirals out of control. Taken hostage by a couple two bit thieves who are on the run, she finds herself fighting for her life.",94,Broken Down
26,5.0,Tom Vaughan,Allan Loeb,"La joven Molly trabaja como detective privado con su padre. El FBI le pide que vigile y proteja a la hija de un testigo en un caso importante, y se ve obligada a unirse a una hermandad universitaria.",94,Peligrosamente infiltrada
27,No tiene datos,Joel Juarez,Joel Juarez,An epic adventure about the last five children on Earth discovering the truth behind the malevolent forces of mother nature. The film follows a group of daring friends in a coming of age adventure.,76,Generation Last
28,8.0,Alejo Hoijman,Alejo Hoijman,"Summer is coming to Nicaragua and Maycol and Bryan will start to learn their families' trade, shark hunting. In a place where traditional trades disappear in favor of drug trafficking, these two boy choose their future. A coming of age film set in the forgotten Caribbean coast of Nicaragua.",93,El ojo del tiburón
29,4.8,Nicolás López,Nicolás López,"En Chile, un grupo de viajeros que se encuentran en un club nocturno subterráneo cuando ocurre un terremoto masivo aprenden rápidamente que llegar a la superficie es solo el comienzo de su pesadilla.",89,Aftershock
30,3.6,Isaac Florentine,Nancy L. Babine,Una mujer está matando a los chicos malos de la inteligencia (y a los testigos). Un exagente del FBI que trabaja en la embajada de Estados Unidos en Sofía (Bulgaria) se encarga de investigar las acciones de la vigilante.,91,La bala del asesino
31,6.5,Faruk Aksoy,Melih Esat Acil,"After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do - conquer Constantinople.",162,Conquista 1453
32,4.3,Abbas Alibhai Burmawalla,Nikhat Bhatty,"Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.",163,Players
33,7.3,Bedabrata Pain,"Bedabrata Pain, Shonali Bose","School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.",105,Chittagong
34,No tiene datos,Michael Pickett,No tiene datos,No tiene datos,95,A Beautiful Game
35,7.6,Charles Wiedman,Charles Wiedman,"A man named Fisher Rood helps a lost soul and dispenses Divine justice while out running the law and the agents of an evil, global corporation.",46,The Sinner
