,0
0,No tiene datos
1,"4,1/10"
2,60
3,100
4,No tiene datos
5,81
6,No tiene datos
7,No tiene datos
8,No tiene datos
9,No tiene datos
10,No tiene datos
11,No tiene datos
12,99
13,14
14,No tiene datos
15,No tiene datos
16,31
17,No tiene datos
18,No tiene datos
19,No tiene datos
20,No tiene datos
21,No tiene datos
22,No tiene datos
23,65
24,No tiene datos
25,No tiene datos
26,No tiene datos
27,No tiene datos
28,No tiene datos
29,No tiene datos
30,No tiene datos
31,No tiene datos
32,No tiene datos
33,No tiene datos
34,No tiene datos
35,No tiene datos
36,29
37,No tiene datos
38,No tiene datos
39,No tiene datos
40,No tiene datos
41,No tiene datos
42,No tiene datos
43,No tiene datos
44,No tiene datos
45,36
46,42
47,No tiene datos
48,No tiene datos
49,29
50,22
51,No tiene datos
52,86
53,0
54,No tiene datos
55,No tiene datos
56,No tiene datos
57,25
58,No tiene datos
59,No tiene datos
60,No tiene datos
61,No tiene datos
62,No tiene datos
63,No tiene datos
64,No tiene datos
65,No tiene datos
66,12
67,No tiene datos
68,No tiene datos
69,18
70,No tiene datos
71,65
72,No tiene datos
73,No tiene datos
74,No tiene datos
75,No tiene datos
76,No tiene datos
77,No tiene datos
78,46
79,33
80,No tiene datos
81,No tiene datos
82,0
83,No tiene datos
84,No tiene datos
85,No tiene datos
86,No tiene datos
87,No tiene datos
88,No tiene datos
89,No tiene datos
90,No tiene datos
91,No tiene datos
92,56
93,No tiene datos
94,No tiene datos
95,No tiene datos
96,No tiene datos
97,No tiene datos
98,No tiene datos
99,No tiene datos
100,No tiene datos
101,35
102,No tiene datos
103,No tiene datos
104,No tiene datos
105,No tiene datos
106,No tiene datos
107,No tiene datos
108,31
109,No tiene datos
110,No tiene datos
111,No tiene datos
112,No tiene datos
113,No tiene datos
114,No tiene datos
115,No tiene datos
116,No tiene datos
117,No tiene datos
118,No tiene datos
119,No tiene datos
120,No tiene datos
121,No tiene datos
122,No tiene datos
123,No tiene datos
124,No tiene datos
125,No tiene datos
126,No tiene datos
127,32
128,12
129,No tiene datos
130,No tiene datos
131,No tiene datos
132,No tiene datos
133,65
134,86
135,No tiene datos
136,No tiene datos
137,No tiene datos
138,No tiene datos
139,No tiene datos
140,No tiene datos
141,No tiene datos
142,No tiene datos
143,89
144,91
145,No tiene datos
146,No tiene datos
147,No tiene datos
148,68
149,No tiene datos
150,No tiene datos
151,32
152,No tiene datos
153,No tiene datos
154,No tiene datos
155,70
156,No tiene datos
157,No tiene datos
158,No tiene datos
159,No tiene datos
160,No tiene datos
161,No tiene datos
162,No tiene datos
163,No tiene datos
164,63
165,73
166,No tiene datos
167,No tiene datos
168,No tiene datos
169,No tiene datos
170,No tiene datos
171,No tiene datos
172,31
173,83
174,30
175,No tiene datos
176,60
177,No tiene datos
178,No tiene datos
179,No tiene datos
180,No tiene datos
181,No tiene datos
182,89
183,33
184,No tiene datos
185,No tiene datos
186,No tiene datos
187,No tiene datos
188,No tiene datos
189,No tiene datos
190,No tiene datos
191,22
192,No tiene datos
193,40
194,No tiene datos
195,No tiene datos
196,No tiene datos
197,32
198,100
199,No tiene datos
200,No tiene datos
201,No tiene datos
202,No tiene datos
203,67
204,No tiene datos
205,No tiene datos
206,No tiene datos
207,No tiene datos
208,No tiene datos
209,No tiene datos
210,No tiene datos
211,No tiene datos
212,No tiene datos
213,60
214,No tiene datos
215,No tiene datos
216,43
217,No tiene datos
218,76
219,No tiene datos
220,59
221,No tiene datos
222,No tiene datos
223,No tiene datos
224,No tiene datos
225,No tiene datos
226,No tiene datos
227,No tiene datos
228,No tiene datos
229,No tiene datos
230,71
231,43
232,No tiene datos
233,No tiene datos
234,No tiene datos
235,No tiene datos
236,No tiene datos
237,No tiene datos
238,No tiene datos
239,No tiene datos
240,No tiene datos
241,No tiene datos
242,No tiene datos
243,No tiene datos
244,No tiene datos
245,No tiene datos
246,58
247,No tiene datos
248,No tiene datos
249,No tiene datos
250,No tiene datos
251,No tiene datos
252,No tiene datos
253,No tiene datos
254,17
255,No tiene datos
256,No tiene datos
257,69
258,No tiene datos
259,No tiene datos
260,No tiene datos
261,No tiene datos
262,No tiene datos
263,100
264,No tiene datos
265,No tiene datos
266,No tiene datos
267,No tiene datos
268,No tiene datos
269,No tiene datos
270,No tiene datos
271,94
272,No tiene datos
273,95
274,No tiene datos
275,No tiene datos
276,No tiene datos
277,No tiene datos
278,No tiene datos
279,38
280,50
281,No tiene datos
282,No tiene datos
283,No tiene datos
284,No tiene datos
285,No tiene datos
286,No tiene datos
287,No tiene datos
288,No tiene datos
289,84
290,No tiene datos
291,No tiene datos
292,No tiene datos
293,No tiene datos
294,No tiene datos
295,No tiene datos
296,No tiene datos
297,No tiene datos
298,No tiene datos
299,No tiene datos
300,No tiene datos
301,No tiene datos
302,No tiene datos
303,No tiene datos
304,No tiene datos
305,No tiene datos
306,No tiene datos
307,No tiene datos
308,No tiene datos
309,No tiene datos
310,22
311,No tiene datos
312,No tiene datos
313,No tiene datos
314,No tiene datos
315,No tiene datos
316,No tiene datos
317,No tiene datos
318,No tiene datos
319,No tiene datos
320,No tiene datos
321,No tiene datos
322,No tiene datos
323,No tiene datos
324,No tiene datos
325,No tiene datos
326,No tiene datos
327,No tiene datos
328,No tiene datos
329,No tiene datos
330,No tiene datos
331,No tiene datos
332,No tiene datos
333,No tiene datos
334,No tiene datos
335,No tiene datos
336,No tiene datos
337,No tiene datos
338,100
339,No tiene datos
340,No tiene datos
341,No tiene datos
342,No tiene datos
343,No tiene datos
344,89
345,No tiene datos
346,No tiene datos
347,No tiene datos
348,No tiene datos
349,No tiene datos
350,No tiene datos
351,No tiene datos
352,No tiene datos
353,No tiene datos
354,No tiene datos
355,No tiene datos
356,No tiene datos
357,No tiene datos
358,No tiene datos
359,No tiene datos
360,No tiene datos
361,No tiene datos
362,No tiene datos
363,No tiene datos
364,No tiene datos
365,No tiene datos
366,No tiene datos
367,No tiene datos
368,No tiene datos
369,No tiene datos
370,No tiene datos
371,No tiene datos
372,No tiene datos
373,No tiene datos
374,No tiene datos
375,No tiene datos
376,No tiene datos
377,No tiene datos
378,No tiene datos
379,No tiene datos
380,No tiene datos
381,No tiene datos
382,No tiene datos
383,No tiene datos
384,No tiene datos
385,No tiene datos
386,No tiene datos
387,No tiene datos
388,No tiene datos
389,No tiene datos
390,No tiene datos
391,No tiene datos
392,No tiene datos
393,No tiene datos
394,No tiene datos
395,No tiene datos
396,No tiene datos
397,No tiene datos
398,No tiene datos
399,No tiene datos
400,No tiene datos
401,No tiene datos
402,No tiene datos
403,62
404,No tiene datos
405,No tiene datos
406,No tiene datos
407,No tiene datos
408,No tiene datos
409,No tiene datos
410,No tiene datos
411,No tiene datos
412,No tiene datos
413,No tiene datos
414,No tiene datos
415,No tiene datos
416,No tiene datos
417,82
418,No tiene datos
419,No tiene datos
420,No tiene datos
421,No tiene datos
422,No tiene datos
423,No tiene datos
424,No tiene datos
425,No tiene datos
426,No tiene datos
427,No tiene datos
428,No tiene datos
