,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
0,Joanna Cassidy,2 de agosto de 1945 ,Estados Unidos,1968,['SAG-AFTRA']
1,Bill Moseley,11 de noviembre de 1951 ,Connecticut,1980,['SAG-AFTRA']
2,Mandy Moore,10 de abril de 1984 ,Estados Unidos,1980,['Mejor reparto de televisión - Drama 2017 This Is Us']
3,Zachary Levi,29 de septiembre de 1980 ,Estados Unidos,1980,['Mejor reparto de televisión - Drama 2017 This Is Us']
4,Donna Murphy,7 de marzo de 1959 ,Estados Unidos,1979,"['Mejor actriz principal en un musical (1994) [ 1 ] \u200b Mejor actriz principal en un musical (1996) [ 2 ] \u200b', 'Premio Liga Dramática Drama Desk Award for Outstanding Actress in a Musical (1994, 2004 y 2007)', 'Premio Liga Dramática Drama Desk Award for Outstanding Actress in a Musical (1994, 2004 y 2007)']"
5,Jeffrey Tambor,08 de julio de 1944 ,Estados Unidos,1977,"['Mejor actor de serie de televisión - Comedia o musical 2015 Transparent', 'Mejor actor - Serie de comedia 2015 Transparent 2016 Transparent', 'Mejor actor de televisión - Comedia 2016 Transparent', 'Premio de la Crítica Televisiva al mejor actor en serie de Comedia 2015 Transparent 2016 Transparent', 'Estrella del Paseo de la Fama de Hollywood Premio Satellite']"
6,Ron Perlman,13 de abril de 1950 ,Estados Unidos,1975,['Premio Máquina del Tiempo (2018)']
7,Byron Howard,13 de abril de 1950 ,2014.,1975,['Premio Máquina del Tiempo (2018)']
8,Paul F. Tompkins,12 de septiembre de 1968 ,Estados Unidos,1968,['Premio Máquina del Tiempo (2018)']
9,Eddie Kaye Thomas,31 de octubre de 1980 ,Estados Unidos,1992,['Premio Máquina del Tiempo (2018)']
10,Donald Faison,31 de octubre de 1980 ,2011.,1992,['Premio Máquina del Tiempo (2018)']
11,Abraham Benrubi,31 de octubre de 1980 ,2017.,1992,['Premio Máquina del Tiempo (2018)']
12,Jaime Pressly,30 de julio de 1977 ,Estados Unidos,1997,['Mejor actriz de reparto - Serie de comedia 2007 My Name Is Earl']
13,Roselyn Sánchez,2 de abril de 1973 ,Puerto Rico,1992,"['Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace', 'Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace']"
14,Molly Sims,25 de mayo de 1973 ,Estados Unidos,1998,"['Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace', 'Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace']"
15,Jon Polito,1 de septiembre de 2016 ,Estados Unidos,1998,"['Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace', 'Alma Awards a la Mejor Actriz en un Drama de Televisión 2002 • Without a Trace']"
16,Steve Carell,16 de agosto de 1962 ,Estados Unidos,1998,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
17,Paul Rudd,6 de abril de 1969 ,Estados Unidos,1998,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
18,Jemaine Clement,10 de enero de 1974 ,Zelanda,1998,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
19,Zach Galifianakis,10 de enero de 1974 ,2019.,1998,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
20,Stéphanie Szostak,12 de junio de 1975 ,Francia,2003,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
21,Bruce Greenwood,12 de agosto de 1956 ,Canadá,1977,"[""Mejor actor de televisión en una serie cómica o musical 2006 The Office '"", 'Mejor reparto 2006 Little Miss Sunshine', 'Estrella del Paseo de la Fama de Hollywood Premio MTV Movie Premio WGA']"
22,Lucy Punch,30 de diciembre de 1977 ,Inglaterra,1998,['Mejor actriz en el Monaco International Film Festival por Are You Ready For Love? (2006)']
23,Ron Livingston,5 de junio de 1967 ,Estados Unidos,1998,['Mejor actriz en el Monaco International Film Festival por Are You Ready For Love? (2006)']
24,Lee Unkrich,5 de junio de 1967 ,2009.,1998,['Mejor actriz en el Monaco International Film Festival por Are You Ready For Love? (2006)']
25,Tom Hanks,9 de julio de 1956 ,Estados Unidos,1977,[]
26,Tim Allen,13 de junio de 1953 ,Estados Unidos,1975,"['Mejor actor de serie de TV - Comedia o musical 1995 - Home Improvement', 'Estrella del Paseo de la Fama de Hollywood Premio Annie Leyendas Disney (1999)']"
27,Michael Keaton,5 de septiembre de 1951 ,Estados Unidos,1975,"['Mejor actor - Comedia o musical 2014 Birdman Mejor actor de miniserie o telefilme 2021 • Dopesick', 'Mejor actor principal en serie limitada o telefilme 2022 Dopesick', 'Mejor reparto 2020 The Trial of the Chicago 7 2015 Spotlight 2014 Birdman Mejor actor de miniserie o telefilme 2021 Dopesick', 'Premio de la Crítica Cinematográfica al mejor actor 2014 Birdman Premio de la crítica cinematográfica al mejor actor de comedia 2014 Birdman Premio de la crítica cinematográfica al mejor reparto 2014 Birdman 2015 Spotlight National Board of Review al mejor actor 2014 Birdman Premio Independent Spirit al mejor actor 2014 Birdman', 'Estrella del Paseo de la Fama de Hollywood Alliance of Women Film Journalists Award for Best Actor (2014) Oficial de la Orden de las Artes y las Letras (2016)']"
28,Joan Cusack,11 de octubre de 1962 ,Estados Unidos,1979,"['Mejor actriz invitada - Serie de comedia 2015 Shameless', 'Premio de la Crítica Cinematográfica a la mejor actriz de reparto 1997 In & Out', 'Premio Annie Theatre World Award (1989)', 'Premio Annie Theatre World Award (1989)']"
29,Ned Beatty,11 de octubre de 1962 ,2011.,1979,"['Mejor actriz invitada - Serie de comedia 2015 Shameless', 'Premio de la Crítica Cinematográfica a la mejor actriz de reparto 1997 In & Out', 'Premio Annie Theatre World Award (1989)', 'Premio Annie Theatre World Award (1989)']"
30,Wallace Shawn,11 de octubre de 1962 ,2015.,1979,"['Mejor actriz invitada - Serie de comedia 2015 Shameless', 'Premio de la Crítica Cinematográfica a la mejor actriz de reparto 1997 In & Out', 'Premio Annie Theatre World Award (1989)', 'Premio Annie Theatre World Award (1989)']"
31,Bonnie Hunt,22 de septiembre de 1961 ,Estados Unidos,1984,['Premio Saturn']
32,Michael Cera,7 de junio de 1988 ,Canadá,1984,['Canadian Comedy Award for Best Male Performance in a Feature']
33,Mary Elizabeth Winstead,28 de noviembre de 1984 ,Estados Unidos,1997,['Premio Saturn']
34,Aubrey Plaza,26 de junio de 1984 ,Estados Unidos,2006,['Premio Saturn']
