,0,1,2,3,4,5
0,accion,pelicula,U-571,2000.0,9.0,tt0141926
1,accion,pelicula,Knockout,2000.0,2.0,tt0143344
2,accion,pelicula,Highlander: Endgame,2000.0,9.0,tt0144964
3,accion,pelicula,Sinbad: Beyond the Veil of Mists,2000.0,2.0,tt0144608
4,accion,pelicula,Shafted!,2000.0,3.0,tt0147486
5,accion,pelicula,Josh,2000.0,6.0,tt0151150
6,accion,pelicula,Yup Yup Man,2005.0,1.0,tt0157202
7,accion,pelicula,The Art of War,2001.0,1.0,tt0160009
8,accion,pelicula,Charlie's Angels,2000.0,12.0,tt0160127
9,accion,pelicula,Shaft,2000.0,11.0,tt0162650
10,accion,pelicula,Hollow Man,2000.0,8.0,tt0164052
11,accion,pelicula,Black Sea 213,2000.0,4.0,tt0165642
12,accion,pelicula,Nautilus,2000.0,4.0,tt0165400
13,accion,pelicula,Romeo Must Die,2000.0,8.0,tt0165929
14,accion,pelicula,Red Team,2000.0,6.0,tt0167367
15,accion,pelicula,Dream Witch,2000.0,5.0,tt0168714
16,accion,pelicula,A Better Way to Die,2001.0,9.0,tt0168504
17,accion,pelicula,Prince of Central Park,2000.0,12.0,tt0170452
18,accion,pelicula,Gladiator,2000.0,5.0,tt0172495
19,accion,pelicula,The Thundering 8th,2000.0,0.0,tt0171827
20,accion,pelicula,Alex l'ariete,2000.0,7.0,tt0172109
21,accion,pelicula,The Million Dollar Kid,2001.0,4.0,tt0172464
22,accion,pelicula,Delta Force One: The Lost Patrol,2000.0,10.0,tt0176650
23,accion,pelicula,Bullfighter,2000.0,10.0,tt0176579
24,accion,pelicula,The Perfect Storm,2000.0,9.0,tt0177971
25,accion,pelicula,Fortress 2,2000.0,3.0,tt0179183
26,accion,pelicula,Mondialito,2001.0,1.0,tt0179987
27,accion,pelicula,Icebreaker,2000.0,5.0,tt0179861
28,accion,pelicula,The Grizzly Six,2000.0,0.0,tt0179204
29,accion,pelicula,Intrepid,2000.0,4.0,tt0183280
30,accion,pelicula,The Specials,2000.0,9.0,tt0181836
31,accion,pelicula,Taxi 2,2001.0,1.0,tt0183869
32,accion,pelicula,Reindeer Games,2000.0,10.0,tt0184858
33,accion,pelicula,Shanghai Noon,2000.0,6.0,tt0184894
34,accion,pelicula,"Farewell, My Love",2000.0,2.0,tt0184457
35,accion,pelicula,Space Cowboys,2000.0,11.0,tt0186566
36,accion,pelicula,The Patriot,2000.0,7.0,tt0187393
37,accion,pelicula,Primary Suspect,2000.0,6.0,tt0187750
38,accion,pelicula,Battlefield Earth,2000.0,5.0,tt0185183
39,accion,pelicula,Brooklyn Sonnet,2000.0,0.0,tt0187761
40,accion,pelicula,Gone in Sixty Seconds,2000.0,8.0,tt0187078
41,accion,pelicula,Point Doom,2000.0,6.0,tt0186454
42,accion,pelicula,Dungeons & Dragons,2001.0,4.0,tt0190374
43,accion,pelicula,Left Behind,2001.0,2.0,tt0190524
44,accion,pelicula,Wo hu cang long,2001.0,2.0,tt0190332
45,accion,pelicula,The Skulls,2000.0,10.0,tt0192614
46,accion,pelicula,Vertical Limit,2001.0,2.0,tt0190865
47,accion,pelicula,Lek,2000.0,4.0,tt0194104
48,accion,pelicula,Accelerator,2000.0,11.0,tt0193701
49,accion,pelicula,Newsbreak,2000.0,2.0,tt0195944
50,accion,pelicula,Starforce,2000.0,7.0,tt0195308
51,accion,pelicula,Hjärta av sten,2000.0,11.0,tt0196614
52,accion,pelicula,The Wrecking Crew,2000.0,3.0,tt0196219
53,accion,pelicula,Under Pressure,2000.0,2.0,tt0197072
54,accion,pelicula,Tiger Claws III,2000.0,8.0,tt0197951
55,accion,pelicula,Black Sea Raid,2000.0,5.0,tt0197299
56,accion,pelicula,Wings of the Crow,2000.0,12.0,tt0197104
57,accion,pelicula,Recipe for Disaster,2000.0,0.0,tt0198970
58,accion,pelicula,Red Planet,2001.0,2.0,tt0199753
59,accion,pelicula,Manhattan Chase,2000.0,11.0,tt0199748
60,accion,pelicula,The Cheapest Movie Ever Made,2000.0,0.0,tt0201519
61,accion,pelicula,Deep Core,2000.0,10.0,tt0202314
62,accion,pelicula,The Alternate,2000.0,4.0,tt0203835
63,accion,pelicula,Pilgrim,2000.0,7.0,tt0203053
64,accion,pelicula,The Way of the Gun,2000.0,9.0,tt0202677
65,accion,pelicula,Ninja Mission 2000,2000.0,0.0,tt0204499
66,accion,pelicula,Airboss III: The Payback,2000.0,1.0,tt0205729
67,accion,pelicula,Hassel/Förgörarna,2000.0,1.0,tt0208198
68,accion,pelicula,Airboss IV: The X Factor,2000.0,10.0,tt0207299
69,accion,pelicula,Chain of Command,2004.0,6.0,tt0207377
70,accion,pelicula,Get Carter,2001.0,9.0,tt0208988
71,accion,pelicula,Nostradamus,2000.0,4.0,tt0207631
72,accion,pelicula,The Chaos Factor,2000.0,6.0,tt0208037
73,accion,pelicula,The Guardian,2000.0,4.0,tt0207501
74,accion,pelicula,Big Momma's House,2000.0,9.0,tt0208003
75,accion,pelicula,Aquarius,2000.0,0.0,tt0212774
76,accion,pelicula,Obstacles,2000.0,0.0,tt0213127
77,accion,pelicula,Miss Congeniality,2001.0,3.0,tt0212346
78,accion,pelicula,Bait,2000.0,9.0,tt0211938
79,accion,pelicula,Citizen Toxie: The Toxic Avenger IV,2008.0,8.0,tt0212879
80,accion,pelicula,Ground Zero,2000.0,5.0,tt0213690
81,accion,pelicula,Last Stand,2000.0,0.0,tt0212881
82,accion,pelicula,Doomsdayer,2000.0,9.0,tt0214638
83,accion,pelicula,Gong yuan 2000 AD,2000.0,2.0,tt0214728
84,accion,pelicula,Faith and the Water Dog,2000.0,0.0,tt0214683
85,accion,pelicula,The Last Patrol,2000.0,4.0,tt0214871
86,accion,pelicula,O Dia da Caça,2000.0,6.0,tt0215715
87,accion,pelicula,The 6th Day,2000.0,12.0,tt0216216
88,accion,pelicula,Total western,2000.0,7.0,tt0216750
89,accion,pelicula,Vampire Hunter D: Bloodlust,2000.0,10.0,tt0216651
90,accion,pelicula,Turn It Up,2000.0,9.0,tt0216772
91,accion,pelicula,Militia,2005.0,,tt0217654
92,accion,pelicula,Mrs. Death 2: Hells Fury,2000.0,10.0,tt0216926
93,accion,pelicula,Agent Red,2000.0,12.0,tt0218080
