,Tipo,Título,Año,Mes,ID
0,Movie,This Wretched Life,2010.0,7.0,tt0331312
1,Movie,Blind Sided,2010.0,0.0,tt0337882
2,Movie,Anderson's Cross,2010.0,5.0,tt0393049
3,Movie,Tangled,2010.0,12.0,tt0398286
4,Movie,Venus & Vegas,2010.0,11.0,tt0423474
5,Movie,Dinner for Schmucks,2010.0,8.0,tt0427152
6,Movie,Toy Story 3,2010.0,6.0,tt0435761
7,Movie,Diary of a Bad Lad,2010.0,2.0,tt0449005
8,Movie,Scott Pilgrim vs. the World,2010.0,11.0,tt0446029
9,Movie,El hada buena - Una fábula peronista,2010.0,4.0,tt0454155
10,Movie,"Guns, Drugs and Dirty Money",2011.0,,tt0464032
11,Movie,Piranha 3D,2010.0,9.0,tt0464154
12,Movie,Harlem Hostel,2010.0,2.0,tt0469094
13,Movie,Stiffs,2010.0,,tt0476023
14,Movie,Barry Munday,2010.0,3.0,tt0482461
15,Movie,A Woman Is a Woman,2010.0,,tt0483839
16,Movie,PrimeMates,2010.0,1.0,tt0490199
17,Movie,Ramona and Beezus,2010.0,7.0,tt0493949
18,Movie,Furry Vengeance,2010.0,7.0,tt0492389
19,Movie,Love & Other Drugs,2011.0,1.0,tt0758752
20,Movie,Waste of Space,2010.0,4.0,tt0765485
21,Movie,The Guardians,2010.0,,tt0800054
22,Movie,It's Kind of a Funny Story,2010.0,10.0,tt0804497
23,Movie,Tooth Fairy,2010.0,1.0,tt0808510
24,Movie,Plumíferos - Aventuras voladoras,2010.0,2.0,tt0811021
25,Movie,She's Out of My League,2010.0,6.0,tt0815236
26,Movie,Valentine's Day,2010.0,2.0,tt0817230
27,Movie,Flipped,2010.0,9.0,tt0817177
28,Movie,Return to Yucca Flats: Desert Man-Beast,2010.0,1.0,tt0826532
29,Movie,The Kids Are All Right,2010.0,12.0,tt0842926
30,Movie,Gangster Exchange,2010.0,2.0,tt0846004
31,Movie,Fauj Mein Mauj,2010.0,,tt0847735
32,Movie,2001 Maniacs: Field of Screams,2010.0,2.0,tt0858411
33,Movie,Wide Blue Yonder,2012.0,5.0,tt0858500
34,Movie,Zenitram,2010.0,5.0,tt0861747
35,Movie,Touch Wood,2010.0,0.0,tt0870208
36,Movie,Please Give,2010.0,7.0,tt0878835
37,Movie,AIR: The Musical,2010.0,4.0,tt0882741
38,Movie,Repo,2010.0,,tt0887161
39,Movie,The Switch,2010.0,10.0,tt0889573
40,Movie,Letters to Juliet,2010.0,6.0,tt0892318
41,Movie,Shrek Forever After,2010.0,7.0,tt0892791
42,Movie,How to Train Your Dragon,2010.0,3.0,tt0892769
43,Movie,Movin' In,2010.0,8.0,tt0910926
44,Movie,Jackboots on Whitehall,2010.0,10.0,tt0915463
45,Movie,De gelukkige huisvrouw,2010.0,4.0,tt0920459
46,Movie,Pizza with Bullets,2021.0,,tt0924266
47,Movie,The Penthouse,2010.0,3.0,tt0929618
48,Movie,Private Security Officer: Los Angeles,2010.0,12.0,tt0960827
49,Movie,Made in Romania,2010.0,,tt0963177
50,Movie,Pushin' Up Daisies,2010.0,6.0,tt0964544
51,Movie,L'imbroglio nel lenzuolo,2010.0,6.0,tt0965429
52,Movie,The Chosen One,2010.0,9.0,tt0970926
53,Movie,Little Fockers,2010.0,12.0,tt0970866
54,Movie,Lottery Ticket,2010.0,8.0,tt0979434
55,Movie,Multiple Sarcasms,2010.0,4.0,tt0984210
56,Movie,Adventure Scouts,2010.0,10.0,tt0994917
57,Movie,Megamind,2010.0,12.0,tt1001526
58,Movie,The Steamroom,2010.0,,tt1008046
59,Movie,Knight and Day,2010.0,7.0,tt1013743
60,Movie,Dylan Dog: Dead of Night,2011.0,4.0,tt1013860
61,Movie,Prime of Your Life,2010.0,,tt1016226
62,Movie,Jeffie Was Here,2010.0,,tt1019442
63,Movie,Piel de Lija,2010.0,5.0,tt10229082
64,Movie,RiffTrax: High School Musical,2010.0,,tt10263222
65,Movie,The Bounty Hunter,2010.0,4.0,tt1038919
66,Movie,Let the Game Begin,2010.0,1.0,tt1041778
67,Movie,Not Another B Movie,2015.0,,tt1043757
68,Movie,Aaj Kal,2010.0,2.0,tt1047439
69,Movie,House Broken,2011.0,7.0,tt1054631
70,Movie,As Melhores Coisas do Mundo,2010.0,4.0,tt1054677
71,Movie,Life as We Know It,2010.0,10.0,tt1055292
72,Movie,Spud,2010.0,12.0,tt1059969
73,Movie,For Christ's Sake,2011.0,12.0,tt1067107
74,Movie,The Vampires of Zanzibar,2010.0,1.0,tt1067090
75,Movie,Quincas Berro d'Água,2010.0,5.0,tt1068962
76,Movie,Habana Eva,2010.0,5.0,tt1069246
77,Movie,Good Intentions,2010.0,3.0,tt1070781
78,Movie,Elvis & Madona,2011.0,9.0,tt1071211
79,Movie,Jelly,2010.0,,tt1071877
80,Movie,See You in September,2010.0,4.0,tt1073246
81,Movie,Psychosomatika,2011.0,12.0,tt1078591
82,Movie,10 Years Later,2010.0,3.0,tt1079974
83,Movie,Jerry Cotton,2010.0,3.0,tt1080019
84,Movie,The University Days of a Dog,2010.0,9.0,tt10912908
85,Movie,Oru Avadhikaalam,2010.0,,tt10940482
86,Movie,Amor en tránsito,2010.0,12.0,tt1095399
87,Movie,Trevor Boris: Over Easy,2010.0,,tt10966982
88,Movie,Les princes de la nuit,2010.0,0.0,tt1101041
89,Movie,Peep World,2011.0,3.0,tt1103273
90,Movie,Killers,2010.0,6.0,tt1103153
91,Movie,Cornhole: The Movie,2010.0,5.0,tt1103269
92,Movie,Something Like a Business,2010.0,,tt1103255
93,Movie,Dirty Girl,2011.0,7.0,tt1107319
94,Movie,Mars,2010.0,12.0,tt1109488
95,Movie,Prigode kmeta Pajota,2010.0,3.0,tt11157618
96,Movie,Jackass 3D,2010.0,10.0,tt1116184
97,Movie,A Fork in the Road,2010.0,4.0,tt1117386
98,Movie,Love Ranch,2011.0,1.0,tt1125929
99,Movie,Morning Glory,2011.0,1.0,tt1126618
100,Movie,Mission London,2010.0,4.0,tt1127702
101,Movie,Miss Nobody,2011.0,6.0,tt1129427
102,Movie,Swishbucklers,2010.0,5.0,tt1130092
103,Movie,Maria Costa's Macho Men and the Women Who Love Them,2010.0,1.0,tt1131737
104,Movie,Donkeys,2010.0,10.0,tt1134846
105,Movie,Undercover Rascals,2010.0,10.0,tt11361770
106,Movie,The Story of F***,2010.0,10.0,tt1137482
107,Movie,Holyman Undercover,2010.0,4.0,tt1144546
108,Movie,Rudolfa mantojums,2010.0,1.0,tt1149607
109,Movie,El kaserón,2010.0,4.0,tt1149619
110,Movie,Heels,2012.0,2.0,tt1160371
111,Movie,Una hora más en Canarias,2010.0,7.0,tt1161411
112,Movie,Harvey Putter and the Ridiculous Premise,2010.0,7.0,tt1161421
113,Movie,Sint,2010.0,11.0,tt1167675
114,Movie,Boston Girls,2010.0,,tt1168696
115,Movie,"Qué Sera, Sera",2010.0,9.0,tt11704124
116,Movie,The Myth of the American Sleepover,2011.0,4.0,tt1174042
117,Movie,The Four-Faced Liar,2010.0,1.0,tt1174693
118,Movie,Acorazado,2012.0,6.0,tt1174933
119,Movie,Failing Better Now,2010.0,5.0,tt1176728
