,0,1,2,3,4,5
0,3.6,Tony Vitale,Tony Vitale,"Darren Fields (Darren Geare) gets stood up on the day of his wedding and uses his vacation tickets with his best friend, R.J. (R.J. Knoll), to spend his ""honeymoon"" at a Club Med-style resort.",100,Life's a Beach
1,5.1,Bobby Farrelly,Mike Cerrone,"Mientras intentan salvar el orfanato de su infancia, Moe, Larry y Curly se topan sin querer con un complot de asesinato y terminan protagonizando un reality show televisivo.",92,Los tres chiflados
2,5.7,Michael Hoffman,Joel Coen,"Un catalogador de arte decide vengarse de su jefe abusivo engañándolo para que compre un Monet falso, pero su plan requiere la ayuda de una excéntrica e impredecible reina de los rodeos de Texas.",89,Un plan perfecto (Gambit)
3,5.9,Julio Bove,"Julio Bove, Fabiana Medici",A government's decree to freeze all bank accounts leaves a retired man with no alternative but to devise a sly way to get his money to survive.,80,Acorralados
4,5.3,Andrucha Waddington,"Andrucha Waddington, Marcelo Vindicato, Rafael Dragaud",Marcos and Beto meet when crashing a private New Year's Eve party and subsequently go on a three-day adventure.,88,Os Penetras
5,No tiene datos,Rebecca Heck,Andy Cannistra,"Rowan Vittles is an average American Teenager with a problem: his family is hooked on eating people! With the help of best friend Seth, and girlfriend Rellie, Rowan tries to detox off his Mom's high protein diet and escape the family 'business', but falls prey to the town Mortician, Mr. Ghoulden, who has other plans for Rowan...",93,Persona Au Gratin
6,6.3,Carsten Fiebeler,"Jens-Frederik Otto, Elke Weigelt","One evening in the mid-sixties, Rolf Anschütz, a chef who runs a small restaurant in a town called Suhl in the middle of the East German province of Thuringen offers his guests a unique and exotic meal - Japanese Sukiyaki. It was intent to be a surprise for some of his best customers and it became a great success. Even the local paper wrote about it - and this should ... Leer todo",100,Sushi in Suhl
7,5.8,Brian Robbins,Steve Koren,"Después de estirar la verdad en un trato con un gurú espiritual, el agente literario Jack McCall encuentra un árbol Bodhi en su propiedad. Su aparición contiene una valiosa lección sobre las consecuencias de cada palabra que pronuncia.",91,Mil palabras
8,5.8,Cal Brunker,Bob Barlen,"Scorch Supernova, el máximo héroe del planeta Baab, es atrapado por fuerzas enemigas. Ahora, su no tan valiente hermano deberá salvarlo.",89,Operación escape
9,6.1,Terracino,Terracino,"Two stages of a Dominican-American's life; first as a boy trying to bond with his young mother, then a 21-year-old looking for love in New York City.",92,Elliot Loves
10,6.0,Jay Duplass,Jay Duplass,Two brothers compete in their own private 25-event Olympics.,90,The Do-Deca-Pentathlon
11,5.0,Jay Chandrasekhar,Peter Gaulke,"Después de no poder embarazar a su esposa, un hombre recluta a sus amigos para robar el depósito que dejó en un banco de esperma hace años.",95,Los babymakers
12,7.0,Genndy Tartakovsky,Peter Baynham,"Drácula, que dirige un complejo turístico de alto nivel alejado del mundo humano, se pone en modo sobreprotector cuando un chico descubre el complejo y se enamora de su hija adolescente.",91,Hotel Transilvania
13,3.1,Mark Jeavons,Mark Jeavons,A poignant yet humorous tale about the plight of a man stuck in a mid-life crisis and trying to rebuild his life again.,94,Whatever Happened to Pete Blaggit?
14,2.9,Sascha Hartmann,Tessa Hartmann,"Un veterinario jubilado en una remota isla escocesa conoce a una cabra que cree que es un perro, a un almirante con miedo al agua, y a un castor que fue criado por conejos.",76,Sir Billi
15,5.7,Declan Reynolds,Declan Reynolds,"Every weekend the streets surge with crowds looking for love, music and oblivion. ""Social Work"" is about the people who provide it to them - those faceless heroes whose Monday morning is other people's Friday night. It's a dirty job but someone's got to do it. The film takes place over one Saturday night shift in a seedy nightclub and centres on Lee and Andy, who work... Leer todo",No tiene datos,The Nightclub Days
16,4.5,Bryan Fogel,Bryan Fogel,Comedia romántica acerca de dos amigos de la infancia que se reúnen despues de muchos años. Uno de ellos le pide al otro que finja ser judío para conquistar a una chica judía.,90,Una novia muy especial
17,5.8,Charles Matthau,Elmore Leonard,"Set in 1974, a pair of '60s radicals rely on their bomb-making skills on their way to becoming capitalists.",90,Freaky Deaky
18,5.0,Paul Sorvino,Amanda Sorvino,No tiene argumento,No tiene datos,The Trouble with Cali
19,7.7,Shalene Portman,Shalene Portman,"When operating a Bed and Breakfast it's better to be married? Or is it? Clara will find that her fictitious husband may cost her the love of her life. Her first guest, Rick, is gorgeous, sweet and single but he thinks she's married. Clara doesn't know how to tell him that she's not really married, and after running into her ""husband"" with his male lover, Rick doesn't ... Leer todo",90,The Significant Other
20,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
21,No tiene datos,Cameron B. Smith,"James Dawkins, William Dawkins, Kenny Mylod",Cameron Smith pursues the challenge of becoming a stand-up comedian for his high school senior project.,136,Rise To Stand-Up
22,No tiene datos,Cameron B. Smith,Cameron B. Smith,"After convincing himself that his videos have taken a turn for the worse, Cameron decides to bring the crew together for one last movie.",81,Weekend Movie
23,No tiene datos,Johnny Terris,Bruce MackintoshLeland StoelwinderJohnny Terris,No tiene datos,54,Darlene's Revenge
24,4.8,Quentin Lee,Koji Steven Sakai,A promiscuous woman tries to find out who got her pregnant so she can get married and live a normal life.,89,The People I've Slept With
25,No tiene datos,Matt Enos,Matt Enos,"Independent narrative/pseudo-documentary shot in Waldo County, Maine, between the years 2010 and 2012. An experiment in white trash excess and violence.",45,Last Days In Waldo County
26,4.2,Conor Lastowka,"Bill Corbett, Kevin Murphy, Michael J. Nelson","Grab your bow and arrow and join Mike Nelson, Kevin Murphy, and Bill Corbett as they laugh their way through 'The Hunger Games' in this witty audio commentary.",No tiene datos,RiffTrax: The Hunger Games
27,5.0,Conor Lastowka,"Bill Corbett, Kevin Murphy, Michael J. Nelson","Puny Steve Rogers becomes a hero (?) in this Marvel origins movie, while the guys at RiffTrax snicker in the audio track.",No tiene datos,RiffTrax: Captain America: The First Avenger
28,3.5,Hari Narayan,Baburaj,No tiene argumento,No tiene datos,Naughty Professor
29,5.9,Timo Vuorensola,Jarmo Puskala,"Los nazis crearon una base secreta en el lado oscuro de la Luna en 1945, donde se esconden y planean volver al poder en 2018.",93,Iron Sky
30,7.1,Alonso Mayo,Alonso Mayo,"Sheltered by his grandparents, Luke, a young man with autism, is thrust into a world that doesn't expect anything from him. But Luke is on a quest for a job and true love. And he isn't taking no for an answer.",96,The Story of Luke
