,0,1,2,3,4,5
0,drama,pelicula,Pál Adrienn,2011.0,6.0,tt0146592
1,drama,pelicula,Oda az igazság,2010.0,2.0,tt0154039
2,drama,pelicula,A zöld sárkány gyermekei,2011.0,4.0,tt0162942
3,drama,pelicula,The Final Journey,2010.0,9.0,tt0230212
4,drama,pelicula,In My Sleep,2010.0,4.0,tt0326965
5,drama,pelicula,This Wretched Life,2010.0,7.0,tt0331312
6,drama,pelicula,Blind Sided,2010.0,0.0,tt0337882
7,drama,pelicula,Anderson's Cross,2010.0,5.0,tt0393049
8,drama,pelicula,Den milde smerte,2014.0,5.0,tt0396123
9,drama,pelicula,Capture the Flag,2010.0,0.0,tt0402887
10,drama,pelicula,Utomlennye solntsem 2,2010.0,4.0,tt0403645
11,drama,pelicula,Tekken,2010.0,3.0,tt0411951
12,drama,pelicula,Disconnect,2010.0,8.0,tt0419692
13,drama,pelicula,Milenge Milenge,2010.0,7.0,tt0443331
14,drama,pelicula,Les 7 jours du talion,2010.0,11.0,tt0445054
15,drama,pelicula,Vidas pequeñas,2011.0,3.0,tt0444531
16,drama,pelicula,Dream Street,2010.0,1.0,tt0446686
17,drama,pelicula,Mad World,2010.0,8.0,tt0451108
18,drama,pelicula,El hada buena - Una fábula peronista,2010.0,4.0,tt0454155
19,drama,pelicula,Memorias del desarrollo,2011.0,11.0,tt0457591
20,drama,pelicula,Drunkboat,2013.0,6.0,tt0460778
21,drama,pelicula,Federal,2010.0,10.0,tt0463311
22,drama,pelicula,Taken by Force,2010.0,,tt0465637
23,drama,pelicula,Sensual,2010.0,,tt0465760
24,drama,pelicula,Harlem Hostel,2010.0,2.0,tt0469094
25,drama,pelicula,Cielito lindo,2010.0,6.0,tt0473343
26,drama,pelicula,The Deafening Silence of a Very Bright Light,2010.0,0.0,tt0475983
27,drama,pelicula,The Greater Meaning of Water,2010.0,,tt0479051
28,drama,pelicula,Barry Munday,2010.0,3.0,tt0482461
29,drama,pelicula,Bandeiji,2010.0,1.0,tt0482459
30,drama,pelicula,A Woman Is a Woman,2010.0,,tt0483839
31,drama,pelicula,PrimeMates,2010.0,1.0,tt0490199
32,drama,pelicula,Ramona and Beezus,2010.0,7.0,tt0493949
33,drama,pelicula,Good Sharma,2017.0,,tt0494229
34,drama,pelicula,O Inimigo Sem Rosto,2010.0,8.0,tt0495037
35,drama,pelicula,Tranced,2010.0,,tt0499608
36,drama,pelicula,Love & Other Drugs,2011.0,1.0,tt0758752
