,0,1,2,3,4,5,6,7
0,7.7,No tiene datos,Frankie J. Mosca,"Frankie J. Mosca, Sal De, Lucia, Ande Cira","Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99,This Wretched Life,tt0331312
1,7.2,No tiene datos,Douglas A. Raine,"Jimmy Lifton, Paulette Victor Lifton, Virginia Perfili",No tiene argumento,No tiene datos,Blind Sided,tt0337882
2,5.8,No tiene datos,Jerome Elston Scott,Jerome Elston Scott,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",98,Anderson's Cross,tt0393049
3,7.7,No tiene datos,Nathan Greno,Dan Fogelman,"La joven Rapunzel, de pelo largo y mágico, ha pasado toda su vida en una torre, pero ahora que un ladrón fugitivo ha tropezado con ella, está a punto de descubrir el mundo por primera vez, y quién es en realidad.",100,Enredados,tt0398286
4,4.0,No tiene datos,Demian Lichtenstein,Eddie Guerra,"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.",95,Venus & Vegas,tt0423474
5,5.9,No tiene datos,Jay Roach,David Guion,Un grupo de personas se reúne periódicamente para cenar acompañados de la persona más idiota que conozcan.,114,La cena,tt0427152
6,8.3,98,Lee Unkrich,John Lasseter,"Los juguetes terminan por error en una guardería en lugar del ático de Andy, justo antes que este se vaya a la universidad. Ahora dependerá de Woody convencer a los otros juguetes de que no fueron abandonados y regresar a casa.",103,Toy Story 3,tt0435761
7,4.0,No tiene datos,Michael Booth,Jonathan Williams,"Frustrated filmmaker, Barry Lick, and a crew of film school wannabees, attempt to make a documentary about a local businessman who he believes is involved in property rackets, prostitution, pornography and drugs.",92,Diary of a Bad Lad,tt0449005
8,7.6,No tiene datos,Edgar Wright,Michael Bacall,Scott Pilgrim debe derrotar a los malévolos siete ex novios de su nueva novia para ganar su corazón.,112,Scott Pilgrim contra el mundo,tt0446029
9,6.5,No tiene datos,Laura Casabe,"Laura Casabe, Tomas Wortley","In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",85,El hada buena - Una fábula peronista,tt0454155
10,8.0,100,John Anton,"John Anton, Jason Waugh","As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",123,"Guns, Drugs and Dirty Money",tt0464032
11,5.5,No tiene datos,Alexandre Aja,Pete Goldfinger,Un terremoto submarino libera a una especie prehistórica de pez carnívoro y un grupo de desconocidos une fuerzas para evitar convertirse en su comida.,88,Piraña 3D,tt0464154
12,3.8,20,Nestor Miranda,Nestor Miranda,Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,81,Harlem Hostel,tt0469094
13,5.4,20,Frank Ciota,Joseph A. Ciota,Un conductor de pompas fúnebres (Aiello) se une a un grupo de gente de Boston en un esfuerzo por mantener abierta la funeraria local.,104,Stiffs,tt0476023
14,5.8,47,Chris D'Arienzo,Chris D'Arienzo,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",95,Barry Munday,tt0482461
15,No tiene datos,71,Arthur J. Mangano,Arthur J. Mangano,A female doctor falls for a married city mayor.,102,A Woman Is a Woman,tt0483839
16,7.0,No tiene datos,Rudy Luna,Rudy Luna,"Primemates is a disturbing and honest conversation among four men in an exclusive cigar shop. They talk about love, relationships, and sex. While exploring men's fascination with younger women, Primemates delves into many political taboos usually associated with the intellectual.",82,PrimeMates,tt0490199
17,6.5,No tiene datos,Elizabeth Allen Rosenbaum,Laurie Craig,"Tratando de desmentir su imagen de molesta y conflictiva, Ramona diseña varias estrategias para ganar dinero y así aliviar los problemas económicos de su familia.",104,Ramona y su hermana,tt0493949
18,3.9,No tiene datos,Roger Kumble,Michael Carnes,"En el desierto de Oregón, la nueva subdivisión de viviendas de un promotor inmobiliario se enfrenta a un grupo único de manifestantes: las criaturas del bosque local que no quieren que se altere su hogar.",92,En pata de guerra,tt0492389
