,Tipo,Título,Año,Mes,ID
0,Movie,Pál Adrienn,2011.0,6.0,tt0146592
1,Movie,Oda az igazság,2010.0,2.0,tt0154039
2,Movie,A zöld sárkány gyermekei,2011.0,4.0,tt0162942
3,Movie,The Final Journey,2010.0,9.0,tt0230212
4,Movie,In My Sleep,2010.0,4.0,tt0326965
5,Movie,This Wretched Life,2010.0,7.0,tt0331312
6,Movie,Blind Sided,2010.0,0.0,tt0337882
7,Movie,Anderson's Cross,2010.0,5.0,tt0393049
8,Movie,Den milde smerte,2014.0,5.0,tt0396123
9,Movie,Capture the Flag,2010.0,0.0,tt0402887
10,Movie,Utomlennye solntsem 2,2010.0,4.0,tt0403645
11,Movie,Tekken,2010.0,3.0,tt0411951
12,Movie,Disconnect,2010.0,8.0,tt0419692
13,Movie,Milenge Milenge,2010.0,7.0,tt0443331
14,Movie,Les 7 jours du talion,2010.0,11.0,tt0445054
15,Movie,Vidas pequeñas,2011.0,3.0,tt0444531
16,Movie,Dream Street,2010.0,1.0,tt0446686
17,Movie,Mad World,2010.0,8.0,tt0451108
18,Movie,El hada buena - Una fábula peronista,2010.0,4.0,tt0454155
19,Movie,Memorias del desarrollo,2011.0,11.0,tt0457591
20,Movie,Drunkboat,2013.0,6.0,tt0460778
21,Movie,Federal,2010.0,10.0,tt0463311
22,Movie,Taken by Force,2010.0,,tt0465637
23,Movie,Sensual,2010.0,,tt0465760
24,Movie,Harlem Hostel,2010.0,2.0,tt0469094
25,Movie,Cielito lindo,2010.0,6.0,tt0473343
26,Movie,The Deafening Silence of a Very Bright Light,2010.0,0.0,tt0475983
27,Movie,The Greater Meaning of Water,2010.0,,tt0479051
28,Movie,Barry Munday,2010.0,3.0,tt0482461
29,Movie,Bandeiji,2010.0,1.0,tt0482459
30,Movie,A Woman Is a Woman,2010.0,,tt0483839
31,Movie,PrimeMates,2010.0,1.0,tt0490199
32,Movie,Ramona and Beezus,2010.0,7.0,tt0493949
33,Movie,Good Sharma,2017.0,,tt0494229
34,Movie,O Inimigo Sem Rosto,2010.0,8.0,tt0495037
35,Movie,Tranced,2010.0,,tt0499608
36,Movie,Love & Other Drugs,2011.0,1.0,tt0758752
37,Movie,King of the Avenue,2010.0,9.0,tt0770778
38,Movie,Night Catches Us,2010.0,12.0,tt0775543
39,Movie,L'illusionniste,2010.0,7.0,tt0775489
40,Movie,El cielo elegido,2012.0,9.0,tt0774519
41,Movie,The Wolfman,2010.0,2.0,tt0780653
42,Movie,The First Grader,2011.0,8.0,tt0790663
43,Movie,13,2011.0,6.0,tt0798817
44,Movie,Ironmen,2010.0,,tt0800092
45,Movie,Nemesis,2010.0,10.0,tt0800353
46,Movie,It's Kind of a Funny Story,2010.0,10.0,tt0804497
47,Movie,Ashes,2010.0,9.0,tt0815101
48,Movie,Flipped,2010.0,9.0,tt0817177
49,Movie,Soupernatural,2010.0,,tt0818172
50,Movie,Waking Madison,2010.0,,tt0831280
51,Movie,The Kids Are All Right,2010.0,12.0,tt0842926
52,Movie,The Town,2010.0,10.0,tt0840361
53,Movie,Killer by Nature,2010.0,,tt0844866
54,Movie,Risen,2011.0,5.0,tt0850709
55,Movie,Bloudím,2010.0,10.0,tt0852939
56,Movie,A Summer Song,2012.0,,tt0853002
57,Movie,Kolorádó Kid,2010.0,10.0,tt0856796
58,Movie,Wide Blue Yonder,2012.0,5.0,tt0858500
59,Movie,"Surprise, Surprise",2010.0,8.0,tt0871893
60,Movie,Please Give,2010.0,7.0,tt0878835
61,Movie,Eat Pray Love,2010.0,10.0,tt0879870
62,Movie,Repo,2010.0,,tt0887161
63,Movie,Kavod,2010.0,5.0,tt0887751
64,Movie,The Switch,2010.0,10.0,tt0889573
65,Movie,Letters to Juliet,2010.0,6.0,tt0892318
66,Movie,The Whistleblower,2011.0,11.0,tt0896872
67,Movie,Don't Fade Away,2011.0,,tt0899145
68,Movie,Acts of Violence,2010.0,5.0,tt0902247
69,Movie,Eager to Die,2010.0,7.0,tt0907731
70,Movie,Proie,2011.0,7.0,tt0907305
71,Movie,Unthinkable,2010.0,7.0,tt0914863
72,Movie,De gelukkige huisvrouw,2010.0,4.0,tt0920459
73,Movie,Truth About Kerry,2012.0,3.0,tt0923954
74,Movie,"Glenn, the Flying Robot",2011.0,7.0,tt0934446
75,Movie,The Waiter,2010.0,3.0,tt0934981
76,Movie,Rabbit Hole,2011.0,4.0,tt0935075
77,Movie,White Knuckles,2010.0,,tt0942906
78,Movie,Green Zone,2010.0,4.0,tt0947810
