,0,1,2,3,4,5,6,7
0,5.6,No tiene datos,Menahem Golan,Fyodor Dostoevsky,A modern day adaptation of Dostoyevsky's classic novel about a young student who is forever haunted by the murder he has committed.,126,Crimen y castigo,tt0096056
1,6.8,No tiene datos,John Malkovich,Nicholas Shakespeare,Un detective de la policía de un país sudamericano se dedica a dar caza a un líder guerrillero revolucionario.,132,Pasos de baile,tt0118926
2,6.5,No tiene datos,Jeffrey Delman,"Jeffrey Delman, D.H. Morgan, Cynthia Cohen",The seamy side of Los Angeles is revealed through the lens of a stolen video camera as it passes through a succession of owners.,91,Random Shooting in L.A.,tt0119980
3,7.3,76,Julie Taymor,Hayden Herrera,"Una biografía de la artista Frida Kahlo, que canalizó el dolor de una lesión debilitante y de su tempestuoso matrimonio en su trabajo.",123,Frida,tt0120679
4,5.0,No tiene datos,Shaji Kailas,B. Unnikrishnan,"Bhadran, an efficient police officer, fights against all the injustice in the society. He faces many challenges when he encounters Devarajan, a smuggler.",No tiene datos,Shivam,tt0130255
5,5.9,No tiene datos,Giorgio Serafini,Giorgio Serafini,"During the final days of World War II, an Italian prisoner of war in Texas is left in the hands of the camp's commander, the only soldier remaining to guard the only prisoner until the arrival of a patrol force that may never come.",96,The Good War,tt0149253
6,6.5,No tiene datos,Brad Mays,"Euripides, Brad Mays","Dionysus returns to Thebes, land of his birth as well as his mortal mother Semele's horrible and shameful death. Angered over his homeland's refusal to acknowledge his divine nature, the son of Zeus intends to establish the worship.",90,The Bacchae,tt0154187
7,7.8,No tiene datos,Richard Caliban,"Richard Caliban, Will Scheffer",A man tríes to stop his troubled wife's destructive behavior.,90,Easter,tt0160240
8,7.5,No tiene datos,Jorge Silva Melo,Jorge Silva Melo,No tiene argumento,116,"António, Um Rapaz de Lisboa",tt0162862
9,3.1,17,John Marino,John Marino,"An Italian street hood gets romantically involved with a woman who is the ex-girlfriend of a leader of a white supremacist gang; after being being brutally attacked by the gang, he seeks revenge via his street connections.",90,White Boy,tt0161088
10,5.5,40,Michael Meredith,Michael Meredith,Six Anton Chekhov short stories set in modern day Cleveland during a three day rain storm.,98,Three Days of Rain,tt0162838
11,6.4,No tiene datos,Phil Alden Robinson,Tom Clancy,"El analista de la CIA Jack Ryan debe detener los planes de una facción neonazi que amenaza con incitar conflicto entre los EE. UU. y el nuevo presidente ruso al detonar un arma nuclear en un partido de fútbol en Baltimore, Maryland.",128,Pánico nuclear,tt0164184
12,5.9,No tiene datos,Matt Dillon,Matt Dillon,"Un estafador viaja a Camboya para cobrar su parte en una estafa de seguros, pero descubre más de lo que esperaba.",116,La ciudad de los fantasmas,tt0164003
13,6.1,69,James Cox,Scott Rosenberg,"After Jack gets caught with a Vegas mobster's wife in bed, he's gotta hit the road. Jack's best friend Pilot accompanies him, and the pair sets out on an adventure akin to Kerouac's ""On the Road"".",97,Highway,tt0165361
14,7.6,No tiene datos,Bob Gale,Bob Gale,"Neal Oliver, un joven muy confundido, emprende el viaje de su vida en una autopista que no existe en ninguno de los mapas, yendo a lugares de los que ni siquiera había oído hablar, buscando una respuesta y su chica soñada.",116,Interstate 60: Episodios de carretera,tt0165832
15,7.2,No tiene datos,Kelly Asbury,John Fusco,"Un caballo salvaje es capturado por humanos y pierde lentamente la voluntad de resistirse al entrenamiento, sin embargo, a lo largo de su lucha por la libertad, se niega a abandonar la esperanza de algún día regresar a su manada.",86,Spirit: El corcel indomable,tt0166813
16,7.3,78,Denzel Washington,Antwone Fisher,Un joven marino se ve obligado a ver a un psiquiatra después de un violento arrebato contra un compañero de tripulación. Durante el tratamiento se revela un pasado doloroso y comienza una nueva esperanza.,120,Antwone Fisher,tt0168786
17,8.8,No tiene datos,Peter Jackson,J.R.R. Tolkien,"Mientras Frodo y Sam se acercan a Mordor con la ayuda del astuto Gollum, la comunidad dividida se enfrenta al nuevo aliado de Sauron, Saruman, y a sus hordas de Isengard.",179,El señor de los anillos: Las dos torres,tt0167261
18,5.8,No tiene datos,George Sluizer,"Yvette Biro, José Saramago, George Sluizer","An inexplicable crack in the Pyrenees Mountains provokes excitement and scientific curiosity. As the geological fracture deepens and widens, the European community begins to disassociate itself from the calamity, and panic ensues among tourists and residents attempting to escape. When Spain and Portugal physically separate from the continent, the detached Iberian peni... Leer todo",117,La balsa de piedra,tt0175203
19,6.5,No tiene datos,Fernando Lopes,"José Cardoso Pires, Fernando Lopes, Maria João Seixas","Based on José Cardoso Pires' novel, O Delfim shows a rotten country, full of feudal lords who dominate its territory with dictatorship. One of them is Tomás da Palma Bravo, also known as O Delfim.",88,O Delfim,tt0175557
20,4.2,No tiene datos,Phil Leirness,"Dominique Aury, Marc Cushman, Nadejda Klein","Sir Stephen introduces O, a talented photographer in her late 20s, to a seductive world of deceit, power and eroticism.",98,The Story of O: Untold Pleasures,tt0176185
21,6.6,No tiene datos,Brad Silberling,Brad Silberling,"Mientras lidia con la muerte de su prometida, un joven se hace amigo de los padres de ella y debe averiguar qué quiere de la vida.",117,El compromiso,tt0179098
22,7.3,No tiene datos,Blake Biddulph,No tiene datos,No tiene datos,100,Dead Man's Dream,tt0184387
23,6.8,No tiene datos,Ramin Serry,Ramin Serry,An Iranian-born teenager living in suburban New Jersey thinks of herself as simply an American until anti-Iranian sentiment erupts in her community after American hostages are held in Iran.,87,Maryam,tt0184719
24,5.2,No tiene datos,Zoe Clarke-Williams,Victoria Strouse,Un sheriff investiga la sobredosis de drogas casi fatal de una estudiante universitaria y descubre muchos detalles sórdidos de su vida antes y durante su descenso a las drogas y el libertinaje.,91,Falsa amistad,tt0191074
25,5.4,No tiene datos,K.C. Bascombe,K.C. Bascombe,"Cuatro ladrones intentan obtener el puntaje más rico de la historia en este thriller lleno de acción y crimen. Con Sherilyn Fenn (""Twin Peaks"").",93,The gang (Golpe perfecto),tt0190938
26,6.8,No tiene datos,Fernando Vendrell,"Fernando Vendrell, Leite de Vasconcelos","Rui was raised in Mozambique in a small village at the frontier of a mysterious river. Son of Portuguese colonists, his best friend is Ana, a black girl godchild of his mother. Unfortunately, he will soon have to learn to recognize two distinct realities - the European and the African - which suddenly seem irreconcilable. At fourteen he is confronted with the tragic d... Leer todo",103,O Gotejar da Luz,tt0191161
27,4.9,49,Brett Parker,Nina Colman,"Jonathan 'Jack' Harris is a waiter, who hopes to start a newspaper called The Tribeca Times, after the part of Manhattan where he lives, and while struggling to find advertisers and stories decides to do one on Internet dating services, so he joins one and seems to have found a great match, maybe even a soul-mate. He doesn't know it's actually his apartment block neig... Leer todo",94,Meet Prince Charming,tt0194143
28,5.7,80,Matt Bissonnette,"Matt Bissonnette, Steven Clark","Ted, his girlfriend Jo, and his brother Johnny are small-time robbers in Montreal. The brothers spend their time watching TV, while Jo rereads Leonard Cohen's novel ""Beautiful Losers"" and attends writing classes. Luka, a Czech immigrant, picks up Jo when he sees her shoplifting. When Johnny surprises Luka kissing Jo, he attacks him. In the ensuing fight Jo accidentall... Leer todo",87,Looking for Leonard,tt0193545
29,No tiene datos,No tiene datos,Marco Colli,"Marco Colli, Gianni Di Gregorio, Idolina Landolfi","Two spinsters, one a religious fanatic in thrall to a TV preacher, live with their elderly mother, a corrupt, randy maid and a pet monkey inherited from their dead father in an apartment of the Dickensian condo they own. The maid marries for money but scorns her husband in favour of a younger lover. Meanwhile the pet monkey secretly lets himself out of his cage at nig... Leer todo",No tiene datos,Viva la scimmia,tt0195131
30,4.8,No tiene datos,João Mário Grilo,"João Mário Grilo, Luís Carmelo","Twenty-five years after leaving school, a group of former students decide to organise a reunion. But, contrary to expectations, these ""old boys"" realise that time has accentuated their differences. The atmosphere is tense, the conversation taut and the old grudges resurface in no time.",89,A Falha,tt0197448
31,4.3,No tiene datos,Michael Paul Girard,Michael Paul Girard,"An attractive woman detective, expert in cases of conjugal infidelity is hired by a mysterious millionaire, unaware that she will get involved in a feverish love triangle to gather all the evidence she needs to finish the case.",90,Secret Pleasures,tt0199007
32,5.0,No tiene datos,Renzo Badolisani,"Renzo Badolisani, Domenico Rafele",No tiene argumento,102,Tornare indietro,tt0202457
33,6.8,No tiene datos,Giulio Cingoli,"Dario Fo, Giulio Cingoli, Luca Raffaelli",No tiene argumento,No tiene datos,Johan Padan a la descoverta de le Americhe,tt0202416
34,6.4,No tiene datos,Bret Carr,Bret CarrQuinn K. RedekerMary Helen Shashy,No tiene datos,76,2 Birds with 1 Stallone,tt0206778
35,6.7,No tiene datos,Hans Canosa,"Hans Canosa, Gabrielle Zevin",1960's Harvard Professor is having an affair with his (male) teaching assistant.,80,Alma Mater,tt0206098
36,5.7,No tiene datos,John Bolton,John Bolton,No tiene datos,106,The Water Game,tt0207826
37,4.6,No tiene datos,Manuel Pradal,Manuel Pradal,"An F.B.I. Agent from America and his bride and young child travel to the Sicilian island of Ginostra, to solve the murder of a key witness.",139,El misterio de Ginostra,tt0208491
38,5.8,46,Larry Clark,"Harmony Korine, Larry Clark",Ken Park trata sobre la vida de varios patinadores de california y de su relación con sus padres y sin ellos.,93,Ken Park,tt0209077
39,4.8,No tiene datos,Julie Delpy,"Julie Delpy, Emily Wagner","Al, a French living in Los Angeles, organized a barbecue for the birthday party of her friend V., whose party is filmed. As Jimmy, Al's boyfriend, does not come and left no news, Al and V. go looking for him.",90,Looking for Jimmy,tt0210816
