,0
0,No tiene datos
1,No tiene datos
2,No tiene datos
3,76
4,No tiene datos
5,No tiene datos
6,No tiene datos
7,No tiene datos
8,No tiene datos
9,17
10,40
11,No tiene datos
12,No tiene datos
13,69
14,No tiene datos
15,No tiene datos
16,78
17,No tiene datos
18,No tiene datos
19,No tiene datos
20,No tiene datos
21,No tiene datos
22,No tiene datos
23,No tiene datos
24,No tiene datos
25,No tiene datos
26,No tiene datos
27,49
28,80
29,No tiene datos
30,No tiene datos
31,No tiene datos
32,No tiene datos
33,No tiene datos
34,No tiene datos
35,No tiene datos
36,No tiene datos
37,No tiene datos
38,46
39,No tiene datos
40,86
41,No tiene datos
42,No tiene datos
43,No tiene datos
44,88
45,No tiene datos
46,No tiene datos
47,No tiene datos
48,71
49,No tiene datos
50,No tiene datos
51,73
52,60
53,No tiene datos
54,No tiene datos
55,48
56,No tiene datos
57,No tiene datos
58,No tiene datos
59,No tiene datos
60,No tiene datos
61,No tiene datos
62,No tiene datos
63,No tiene datos
64,No tiene datos
65,63
66,56
67,No tiene datos
68,86
69,40
70,No tiene datos
71,No tiene datos
72,No tiene datos
73,25
74,No tiene datos
75,No tiene datos
76,No tiene datos
77,No tiene datos
78,No tiene datos
79,75
80,No tiene datos
81,No tiene datos
82,42
83,No tiene datos
84,No tiene datos
85,33
86,No tiene datos
87,No tiene datos
88,No tiene datos
89,No tiene datos
90,No tiene datos
91,10
92,No tiene datos
93,38
94,No tiene datos
95,No tiene datos
96,No tiene datos
97,No tiene datos
98,No tiene datos
99,No tiene datos
100,No tiene datos
101,14
102,26
103,No tiene datos
104,No tiene datos
105,No tiene datos
106,No tiene datos
107,No tiene datos
108,No tiene datos
109,No tiene datos
110,20
111,No tiene datos
112,55
113,No tiene datos
114,No tiene datos
115,No tiene datos
116,No tiene datos
117,No tiene datos
118,No tiene datos
119,No tiene datos
120,No tiene datos
121,No tiene datos
122,53
123,51
124,No tiene datos
125,No tiene datos
126,61
127,No tiene datos
128,No tiene datos
129,No tiene datos
130,No tiene datos
131,No tiene datos
132,21
133,No tiene datos
134,No tiene datos
135,No tiene datos
136,No tiene datos
137,No tiene datos
138,No tiene datos
139,No tiene datos
140,No tiene datos
141,No tiene datos
142,No tiene datos
143,No tiene datos
144,57
145,No tiene datos
146,No tiene datos
147,No tiene datos
148,No tiene datos
149,40
150,No tiene datos
151,No tiene datos
152,No tiene datos
153,60
154,73
155,No tiene datos
156,No tiene datos
157,No tiene datos
158,No tiene datos
159,No tiene datos
160,No tiene datos
161,No tiene datos
162,No tiene datos
163,No tiene datos
164,No tiene datos
165,No tiene datos
166,No tiene datos
167,No tiene datos
168,No tiene datos
169,No tiene datos
170,39
171,No tiene datos
172,No tiene datos
173,No tiene datos
174,No tiene datos
175,No tiene datos
176,85
177,No tiene datos
178,33
179,No tiene datos
180,No tiene datos
181,No tiene datos
182,No tiene datos
183,No tiene datos
184,No tiene datos
185,83
186,No tiene datos
187,No tiene datos
188,22
189,No tiene datos
190,No tiene datos
191,No tiene datos
