,pelicula,actor
0,U-571,Matthew McConaughey
1,U-571,Bill Paxton
2,U-571,Harvey Keitel
3,U-571,Jon Bon Jovi
4,U-571,Thomas Kretschmann
5,U-571,Jake Weber
6,U-571,Tom Guiry
7,U-571,Erik Palladino
8,Highlander: Endgame,Christopher Lambert
9,Highlander: Endgame,Adrian Paul
10,Highlander: Endgame,Douglas Aarniokoski
11,Highlander: Endgame,Donnie Yen
12,Highlander: Endgame,Bruce Payne
13,Highlander: Endgame,Adam Copeland
14,Highlander: Endgame,Wendy Partridge
15,Highlander: Endgame,Christopher Leps
16,Sinbad: Beyond the Veil of Mists,Brendan Fraser
17,Sinbad: Beyond the Veil of Mists,Mark Hamill
18,Sinbad: Beyond the Veil of Mists,Leonard Nimoy
19,Sinbad: Beyond the Veil of Mists,John Rhys-Davies
20,Sinbad: Beyond the Veil of Mists,Jennifer Hale
21,Sinbad: Beyond the Veil of Mists,Jeff Wolverton
22,Sinbad: Beyond the Veil of Mists,Alice Amter
23,Sinbad: Beyond the Veil of Mists,Jim Cummings
24,Yup Yup Man,David Bowe
25,Yup Yup Man,Mo Gallini
26,Yup Yup Man,William Bumiller
27,Yup Yup Man,Debi A. Monahan
28,Yup Yup Man,Chase MacKenzie Bebak
29,Yup Yup Man,Robert Enriquez
30,Yup Yup Man,Jocelyn Seagrave
31,Yup Yup Man,Judi Beecher
32,Charlie's Angels,Jaclyn Smith
33,Charlie's Angels,Elizabeth Banks
34,Charlie's Angels,Kristen Stewart
35,Charlie's Angels,John Forsythe
36,Charlie's Angels,Drew Barrymore
37,Charlie's Angels,Lucy Liu
38,Charlie's Angels,Cameron Diaz
39,Charlie's Angels,Ella Balinska
40,Shaft,Samuel L. Jackson
41,Shaft,Richard Roundtree
42,Shaft,Jessie Usher
43,Shaft,Regina Hall
44,Shaft,Alexandra Shipp
45,Shaft,Lauren Vélez
46,Shaft,Avan Jogia
47,Shaft,Matt Lauria
48,Hollow Man,Kevin Bacon
49,Hollow Man,Elisabeth Shue
50,Hollow Man,Josh Brolin
51,Hollow Man,Rhona Mitra
52,Hollow Man,Kim Dickens
53,Hollow Man,Greg Grunberg
54,Hollow Man,Mary Randle
55,Hollow Man,William Devane
56,Black Sea 213,Anthony Addabbo
57,Black Sea 213,Timothy Bottoms
58,Black Sea 213,Irina Grigoryeva
59,Black Sea 213,Vera Sotnikova
60,Black Sea 213,Jacqueline Lovell
61,Black Sea 213,Brion James
62,Black Sea 213,Yelena Zatolokina
63,Black Sea 213,Anna Dubrovskaya
64,Romeo Must Die,Jet Li
65,Romeo Must Die,Aaliyah
66,Romeo Must Die,Russell Wong
67,Romeo Must Die,DMX
68,Romeo Must Die,Isaiah Washington
69,Romeo Must Die,Anthony Anderson
70,Romeo Must Die,Delroy Lindo
71,Romeo Must Die,D.B. Woodside
72,A Better Way to Die,Scott Wiper
73,A Better Way to Die,Lou Diamond Phillips
74,A Better Way to Die,Jefferson Moore
75,A Better Way to Die,Andre Braugher
76,A Better Way to Die,Mo Gallini
77,A Better Way to Die,Natasha Henstridge
78,A Better Way to Die,Jack Conley
79,A Better Way to Die,Rick Hoffman
80,Prince of Central Park,Kathleen Turner
81,Prince of Central Park,Cathy Moriarty
82,Prince of Central Park,Harvey Keitel
83,Prince of Central Park,Danny Aiello
84,Prince of Central Park,Frank Nasso
85,Prince of Central Park,Lauren Vélez
86,Prince of Central Park,John P. Gulino
87,Prince of Central Park,Mtume Gant
88,Gladiator,Russell Crowe
89,Gladiator,Joaquin Phoenix
90,Gladiator,Connie Nielsen
91,Gladiator,Paul Mescal
92,Gladiator,Oliver Reed
93,Gladiator,Richard Harris
94,Gladiator,Spencer Treat Clark
95,Gladiator,Tommy Flanagan
96,Alex l'ariete,Michelle Hunziker
97,Alex l'ariete,Alberto Tomba
98,Alex l'ariete,Corinne Cléry
99,Alex l'ariete,Massimo Poggio
100,Alex l'ariete,Tony Kendall
101,Alex l'ariete,Orso Maria Guerrini
102,Alex l'ariete,Ramona Badescu
103,Alex l'ariete,Tullio Sorrentino
104,Delta Force One: The Lost Patrol,John Rhys-Davies
105,Delta Force One: The Lost Patrol,Lior Raz
106,Delta Force One: The Lost Patrol,Gary Daniels
107,Delta Force One: The Lost Patrol,Mike Norris
108,Delta Force One: The Lost Patrol,Ze'ev Revach
109,Delta Force One: The Lost Patrol,Bentley Mitchum
110,Delta Force One: The Lost Patrol,Sasson Gabai
111,Delta Force One: The Lost Patrol,Uri Gavriel
112,The Perfect Storm,Diane Lane
113,The Perfect Storm,Mary Elizabeth Mastrantonio
114,The Perfect Storm,George Clooney
115,The Perfect Storm,William Fichtner
116,The Perfect Storm,John Hawkes
117,The Perfect Storm,Mark Wahlberg
118,The Perfect Storm,John C. Reilly
119,The Perfect Storm,Hayden Tank
120,Fortress 2,Kelly Greyson
121,Fortress 2,Natali Yura
122,Fortress 2,Bruce Willis
123,Fortress 2,Chad Michael Murray
124,Fortress 2,Gabrielle Haugh
125,Fortress 2,Ser'Darius Blain
126,Fortress 2,Jesse Metcalfe
127,Fortress 2,Shannen Doherty
128,Reindeer Games,Ben Affleck
129,Reindeer Games,Charlize Theron
130,Reindeer Games,Gary Sinise
131,Reindeer Games,Ashton Kutcher
132,Reindeer Games,James Frain
133,Reindeer Games,Isaac Hayes
134,Reindeer Games,Donal Logue
135,Reindeer Games,Michael Sunczyk
136,Shanghai Noon,Jackie Chan
137,Shanghai Noon,Owen Wilson
138,Shanghai Noon,Lucy Liu
139,Shanghai Noon,Brandon Merrill
140,Shanghai Noon,Eric Chen
141,Shanghai Noon,Roger Yuan
142,Shanghai Noon,Walton Goggins
143,Shanghai Noon,Jason Connery
144,Space Cowboys,Clint Eastwood
145,Space Cowboys,Tommy Lee Jones
146,Space Cowboys,James Garner
147,Space Cowboys,Donald Sutherland
148,Space Cowboys,Marcia Gay Harden
149,Space Cowboys,James Cromwell
150,Space Cowboys,William Devane
151,Space Cowboys,Barbara Babcock
152,The Patriot,Heath Ledger
153,The Patriot,Jason Isaacs
154,The Patriot,Skye McCole Bartusiak
155,The Patriot,Lisa Brenner
156,The Patriot,Mel Gibson
157,The Patriot,Joely Richardson
158,The Patriot,Tom Wilkinson
159,The Patriot,Logan Lerman
160,Battlefield Earth,John Travolta
161,Battlefield Earth,Forest Whitaker
162,Battlefield Earth,Barry Pepper
163,Battlefield Earth,Kelly Preston
164,Battlefield Earth,Sabine Karsenti
165,Battlefield Earth,Shaun Austin-Olsen
166,Battlefield Earth,Kim Coates
167,Battlefield Earth,Earl Pastko
168,Gone in Sixty Seconds,Nicolas Cage
169,Gone in Sixty Seconds,Angelina Jolie
170,Gone in Sixty Seconds,Giovanni Ribisi
171,Gone in Sixty Seconds,H. B. Halicki
172,Gone in Sixty Seconds,T.J. Cross
