,pelicula,actor
0,Anderson's Cross,Jerome Elston Scott
1,Anderson's Cross,Nicholas Downs
2,Anderson's Cross,Heather Bergdahl
3,Anderson's Cross,Michael Warren
4,Anderson's Cross,Joyce Guy
5,Anderson's Cross,Joanna Cassidy
6,Anderson's Cross,Bill Moseley
7,Anderson's Cross,Micah Stuart
8,Tangled,Mandy Moore
9,Tangled,Zachary Levi
10,Tangled,Donna Murphy
11,Tangled,Nathan Greno
12,Tangled,Jeffrey Tambor
13,Tangled,Ron Perlman
14,Tangled,Byron Howard
15,Tangled,Paul F. Tompkins
16,Venus & Vegas,Eddie Kaye Thomas
17,Venus & Vegas,Eddie Guerra
18,Venus & Vegas,Donald Faison
19,Venus & Vegas,Abraham Benrubi
20,Venus & Vegas,Jaime Pressly
21,Venus & Vegas,Roselyn Sánchez
22,Venus & Vegas,Molly Sims
23,Venus & Vegas,Jon Polito
24,Dinner for Schmucks,Steve Carell
25,Dinner for Schmucks,Paul Rudd
26,Dinner for Schmucks,Jemaine Clement
27,Dinner for Schmucks,Zach Galifianakis
28,Dinner for Schmucks,Stéphanie Szostak
29,Dinner for Schmucks,Bruce Greenwood
30,Dinner for Schmucks,Lucy Punch
31,Dinner for Schmucks,Ron Livingston
32,Toy Story 3,Lee Unkrich
33,Toy Story 3,Tom Hanks
34,Toy Story 3,Tim Allen
35,Toy Story 3,Michael Keaton
36,Toy Story 3,Joan Cusack
37,Toy Story 3,Ned Beatty
38,Toy Story 3,Wallace Shawn
39,Toy Story 3,Bonnie Hunt
40,Scott Pilgrim vs. the World,Michael Cera
41,Scott Pilgrim vs. the World,Mary Elizabeth Winstead
42,Scott Pilgrim vs. the World,Aubrey Plaza
43,Scott Pilgrim vs. the World,Kieran Culkin
44,Scott Pilgrim vs. the World,Chris Evans
45,Scott Pilgrim vs. the World,Brie Larson
46,Scott Pilgrim vs. the World,Jason Schwartzman
47,Scott Pilgrim vs. the World,Ellen Wong
48,Piranha 3D,Kelly Brook
49,Piranha 3D,Elisabeth Shue
50,Piranha 3D,Jessica Szohr
51,Piranha 3D,Christopher Lloyd
52,Piranha 3D,Jerry O'Connell
53,Piranha 3D,Richard Dreyfuss
54,Piranha 3D,Eli Roth
55,Piranha 3D,Ving Rhames
56,Barry Munday,Judy Greer
57,Barry Munday,Patrick Wilson
58,Barry Munday,Chloë Sevigny
59,Barry Munday,Jean Smart
60,Barry Munday,Malcolm McDowell
61,Barry Munday,Barry Habib
62,Barry Munday,Colin Hanks
63,Barry Munday,Cybill Shepherd
64,A Woman Is a Woman,Anna Karina
65,A Woman Is a Woman,Jean-Paul Belmondo
66,A Woman Is a Woman,Jean-Claude Brialy
67,A Woman Is a Woman,Catherine Demongeot
68,A Woman Is a Woman,Dorothée Blanck
69,A Woman Is a Woman,Gérard Hoffmann
70,A Woman Is a Woman,Noel Pacquin
71,A Woman Is a Woman,György Cserhalmi
72,Ramona and Beezus,Joey King
73,Ramona and Beezus,Selena Gomez
