,pelicula,actor
0,In My Sleep,Philip Winchester
1,In My Sleep,Lacey Chabert
2,In My Sleep,Abigail Spencer
3,In My Sleep,Kelly Overton
4,In My Sleep,Tony Hale
5,In My Sleep,Michael Badalucco
6,In My Sleep,Amy Aquino
7,In My Sleep,Tim Draxl
8,Anderson's Cross,Jerome Elston Scott
9,Anderson's Cross,Nicholas Downs
10,Anderson's Cross,Heather Bergdahl
11,Anderson's Cross,Michael Warren
12,Anderson's Cross,Joyce Guy
13,Anderson's Cross,Joanna Cassidy
14,Anderson's Cross,Bill Moseley
15,Anderson's Cross,Micah Stuart
16,Utomlennye solntsem 2,Nikita Mijalkov
17,Utomlennye solntsem 2,Nadezhda Mijalkova
18,Utomlennye solntsem 2,Oleg Ménshikov
19,Utomlennye solntsem 2,Yevgeny Mironov
20,Utomlennye solntsem 2,Vladimir Adolfovich Ilyin
21,Utomlennye solntsem 2,Serguéi Makovetski
22,Utomlennye solntsem 2,Dmitri Dyuzhev
23,Utomlennye solntsem 2,Andrey Merzlikin
24,Tekken,Kelly Overton
25,Tekken,Candîce Hillebrand
26,Tekken,Cary-Hiroyuki Tagawa
27,Tekken,Lateef Crowder Dos Santos
28,Tekken,Luke Goss
29,Tekken,Gary Daniels
30,Tekken,Mircea Monroe
31,Tekken,Tamlyn Tomita
32,Milenge Milenge,Shahid Kapoor
33,Milenge Milenge,Kareena Kapoor
34,Milenge Milenge,Satish Kaushik
35,Milenge Milenge,Delnaaz Irani
36,Milenge Milenge,Satish Shah
37,Milenge Milenge,Aarti Chhabria
38,Milenge Milenge,Sarfaraz khan
39,Milenge Milenge,Kirron Kher
40,Les 7 jours du talion,Martin Dubreuil
41,Les 7 jours du talion,Claude Legault
42,Les 7 jours du talion,Rémy Girard
43,Les 7 jours du talion,Rose-Marie Coallier
44,Les 7 jours du talion,Pascale Delhaes
45,Les 7 jours du talion,Fanny Mallette
46,Les 7 jours du talion,Alexandre Goyette
47,Les 7 jours du talion,Dominique Quesnel
48,Vidas pequeñas,Ángela Molina
49,Vidas pequeñas,Roberto Enríquez
50,Vidas pequeñas,Emilio Gutiérrez Caba
51,Vidas pequeñas,Alicia Borrachero
52,Vidas pequeñas,Ana Gracia
53,Vidas pequeñas,Rubén Ochandiano
54,Vidas pequeñas,Yohana Cobo
55,Vidas pequeñas,Asunción Balaguer
56,Cielito lindo,Arturo de Córdova
57,Cielito lindo,Lucha Reyes
58,Cielito lindo,Leonor Gomez
59,Cielito lindo,"Carlos López ""Chaflán"""
60,Cielito lindo,Max Langler
61,Cielito lindo,Miguel Wimer
62,Cielito lindo,Lupita Gallardo
63,Cielito lindo,Alfonso Parra
64,Barry Munday,Judy Greer
65,Barry Munday,Patrick Wilson
66,Barry Munday,Chloë Sevigny
67,Barry Munday,Jean Smart
68,Barry Munday,Malcolm McDowell
69,Barry Munday,Barry Habib
70,Barry Munday,Colin Hanks
71,Barry Munday,Cybill Shepherd
72,A Woman Is a Woman,Anna Karina
73,A Woman Is a Woman,Jean-Paul Belmondo
74,A Woman Is a Woman,Jean-Claude Brialy
75,A Woman Is a Woman,Catherine Demongeot
76,A Woman Is a Woman,Dorothée Blanck
77,A Woman Is a Woman,Gérard Hoffmann
78,A Woman Is a Woman,Noel Pacquin
79,A Woman Is a Woman,György Cserhalmi
80,Ramona and Beezus,Joey King
81,Ramona and Beezus,Selena Gomez
82,Ramona and Beezus,Ginnifer Goodwin
83,Ramona and Beezus,John Corbett
84,Ramona and Beezus,Josh Duhamel
85,Ramona and Beezus,Bridget Moynahan
86,Ramona and Beezus,Sandra Oh
87,Ramona and Beezus,Hutch Dano
88,Love & Other Drugs,Anne Hathaway
89,Love & Other Drugs,Jake Gyllenhaal
90,Love & Other Drugs,Oliver Platt
91,Love & Other Drugs,Gabriel Macht
92,Love & Other Drugs,Judy Greer
93,Love & Other Drugs,Katheryn Winnick
94,Love & Other Drugs,Josh Gad
95,Love & Other Drugs,Hank Azaria
96,Night Catches Us,Anthony Mackie
97,Night Catches Us,Kerry Washington
98,Night Catches Us,Jamie Hector
99,Night Catches Us,Jamara Griffin
100,Night Catches Us,Wendell Pierce
101,Night Catches Us,Amari Cheatom
102,Night Catches Us,Novella Nelson
103,Night Catches Us,Ron Simons
104,The Wolfman,Benicio del Toro
105,The Wolfman,Anthony Hopkins
106,The Wolfman,Emily Blunt
107,The Wolfman,Hugo Weaving
108,The Wolfman,Art Malik
109,The Wolfman,Geraldine Chaplin
110,The Wolfman,Rick Baker
111,The Wolfman,Michael Cronin
112,Ironmen,Robert Downey Jr.
113,Ironmen,Jon Favreau
114,Ironmen,Gwyneth Paltrow
115,Ironmen,Jeff Bridges
116,Ironmen,Terrence Howard
117,Ironmen,Leslie Bibb
118,Ironmen,Stan Lee
119,Ironmen,Paul Bettany
