,0,1,2,3,4,5,6,7
0,6.5,No tiene datos,Nicolas Boukhrief,Éric Besnard,Un hombre entra a trabajar a una compañía de camiones de seguridad para vengar la muerte de su hijo durante un asalto.,95,El transportista,tt0347330
1,4.5,"4,1/10",Scott Spiegel,"Lee Batchler, Janet Scott Batchler","When her surrogate father who owns the casino she works in gets murdered, Modesty Blaise takes on those that killed him and are now at the casino to rob it. It turns out she is more than just a modest worker.",78,Mi nombre es Modesty: una aventura de Modesty Blaise,tt0347591
2,6.8,60,Shinji Takagi,Sadayuki Murai,"En la Gran Bretaña de 1860, un niño inventor se encuentra atrapado en medio de un conflicto mortal por un avance revolucionario en la energía del vapor.",126,Steamboy,tt0348121
3,7.4,100,Rajkumar Santoshi,Ranjit Kapoor,A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.,174,Khakee,tt0347332
4,5.3,No tiene datos,Clive Morris,Clive Morris,No tiene argumento,No tiene datos,A Case of Murder,tt0348565
5,7.0,81,Farah Khan,Farah Khan,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",182,Main Hoon Na,tt0347473
6,3.0,No tiene datos,Alle Segretti,"Alle Segretti, Zanne Segretti","He told them, get out of our lives in the next ten minutes or I will be in yours forever after. They chose option two. Now he is on a mission to annihilate the threat they have become.",120,Not About AJ,tt0349198
7,5.1,No tiene datos,Pankaj Parashar,Rajiv Babbar,"Assistant Commissioner of Police, Uday Dhirendra Thakur, is a rogue cop, known for his relentlessness in pursuing criminals, and bringing them to justice, failing which, killing them in false encounters. It is this reputation that gets him transferred to crime detection, and counseling at the hands of Dr. Mehak. Then a series of homicides take place, and the police fe... Leer todo",127,Inteqam: The Perfect Game,tt0349620
8,4.9,No tiene datos,David Carson,Tom Vaughan,"Dean has PTSD after a wet-job gone bad in Bosnia. Waiting for his police girlfriend at a diner, some bad guys inject him with a hallucinogen. It sends him back to traumatic experiences in Bosnia and he reacts violently.",96,Ladrones de mentes,tt0349889
9,6.3,No tiene datos,Antoine Fuqua,David Franzoni,Una visión desmitificada de la historia del rey Arturo y los caballeros de la mesa redonda.,126,El rey Arturo,tt0349683
